,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Hangzhou,startLocation_Hefei,startLocation_Shanghai,startLocation_Wuxi,endLocation_Hangzhou,endLocation_Hefei,endLocation_Shanghai,endLocation_Wuxi,timespan_2,timespan_3,timespan_4,timespan_5,cost
27,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,1,0,18487
28,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,1,0,0,0,53489
29,3,284.57330097340963,187,90,1,0,1,0,0,0,0,0,1,0,0,1,0,45329
30,1,384.3880645071777,299,90,1,0,0,1,0,0,1,0,0,1,0,0,0,72329
31,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,0,0,1,0,19927
32,1,116.1316602594519,90,90,1,0,0,0,1,0,0,1,0,1,0,0,0,21847
33,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,0,1,18487
34,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,1,0,0,61289
35,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,1,0,0,19927
36,1,116.09922555340886,90,90,1,0,0,1,0,1,0,0,0,0,0,0,1,21847
37,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,0,0,1,0,45329
38,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,0,1,0,0,49169
39,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,1,0,0,0,60977
40,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,1,0,0,61289
41,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,1,0,0,0,49169
42,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,1,0,18487
43,1,384.3880645071777,299,90,1,0,1,0,0,0,0,1,0,0,0,1,0,72329
44,2,144.91306819366292,103,90,1,1,0,0,0,0,0,0,1,0,1,0,0,25001
45,2,284.57330097340963,203,90,1,0,1,0,0,0,0,0,1,1,0,0,0,49169
46,1,384.3880645071777,299,90,1,0,0,1,0,0,1,0,0,1,0,0,0,72329
47,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,0,0,1,23081
48,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,1,0,0,0,19927
49,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,1,0,0,0,18487
50,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,1,0,0,0,53489
51,2,324.5665668056832,231,90,1,1,0,0,0,0,1,0,0,0,1,0,0,55937
52,2,116.09922555340886,82,90,1,0,0,1,0,1,0,0,0,0,0,1,0,19927
53,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,1,0,0,0,23081
54,3,116.09922555340886,76,90,1,1,0,0,0,0,0,1,0,0,1,0,0,18487
55,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,0,0,1,0,25001
56,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,0,1,0,0,49169
57,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,1,0,0,0,53489
58,1,116.09922555340886,90,90,1,0,0,1,0,1,0,0,0,1,0,0,0,21847
59,1,116.09922555340886,90,90,1,1,0,0,0,0,0,1,0,1,0,0,0,21847
60,1,144.91306819366292,112,90,1,0,0,0,1,1,0,0,0,0,1,0,0,27161
61,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,0,1,0,0,53489
62,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,0,1,0,0,18487
63,1,384.3880645071777,299,90,1,0,0,1,0,0,1,0,0,0,0,0,1,72329
64,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,0,1,18487
65,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,1,0,0,0,19927
66,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,0,0,1,27161
67,1,116.1316602594519,90,90,1,0,0,1,0,0,0,0,1,0,1,0,0,21847
68,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,0,1,51617
69,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,1,0,0,61289
70,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,0,1,0,23081
71,1,144.91306819366292,112,90,1,0,0,0,1,1,0,0,0,0,0,0,1,27161
72,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,0,1,0,0,25001
73,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,0,1,51617
74,2,116.09922555340886,82,90,1,1,0,0,0,0,0,1,0,0,0,0,1,19927
75,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,1,0,0,51617
76,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,1,0,0,27161
77,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,1,0,0,0,60977
78,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,1,0,51617
79,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,0,1,0,61289
80,2,324.5665668056832,231,90,1,1,0,0,0,0,1,0,0,0,0,0,1,55937
81,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,1,0,0,0,19927
82,1,384.3880645071777,299,90,1,0,0,1,0,0,1,0,0,0,1,0,0,72329
83,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,1,0,0,19927
84,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,1,0,0,0,23081
85,1,324.5665668056832,252,90,1,0,1,0,0,1,0,0,0,1,0,0,0,60977
86,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,1,0,0,18487
87,2,324.5665668056832,231,90,1,1,0,0,0,0,1,0,0,0,0,0,1,55937
88,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,1,0,0,61289
89,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,0,0,1,0,45329
90,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,1,0,0,0,60977
91,1,116.1316602594519,90,90,1,0,0,1,0,0,0,0,1,0,1,0,0,21847
92,3,284.57330097340963,187,90,1,0,1,0,0,0,0,0,1,0,0,1,0,45329
93,2,284.57330097340963,203,90,1,0,1,0,0,0,0,0,1,0,0,1,0,49169
94,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,0,1,0,0,45329
95,3,284.57330097340963,187,90,1,0,1,0,0,0,0,0,1,0,1,0,0,45329
96,2,324.5665668056832,231,90,1,1,0,0,0,0,1,0,0,0,1,0,0,55937
97,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,0,0,1,0,45329
98,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,0,0,1,0,18487
99,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,0,0,1,19927
100,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,0,1,0,0,60977
101,1,116.1316602594519,90,90,1,0,0,0,1,0,0,1,0,0,0,1,0,21847
102,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,0,1,0,61289
103,2,116.09922555340886,82,90,1,0,0,1,0,1,0,0,0,0,0,1,0,19927
104,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,0,1,0,61289
105,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,0,0,0,1,18487
106,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,1,0,0,0,25001
107,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,0,1,0,23081
108,1,116.1316602594519,90,90,1,0,0,1,0,0,0,0,1,0,0,0,1,21847
109,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,1,0,0,27161
110,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,0,0,0,1,18487
111,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,1,0,0,61289
112,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,0,1,0,0,53489
113,2,116.09922555340886,82,90,1,1,0,0,0,0,0,1,0,0,0,0,1,19927
114,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,0,0,1,23081
115,1,384.3880645071777,299,90,1,0,0,1,0,0,1,0,0,0,0,0,1,72329
116,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,1,0,0,51617
117,3,116.09922555340886,76,90,1,1,0,0,0,0,0,1,0,0,0,0,1,18487
118,1,116.1316602594519,90,90,1,0,0,1,0,0,0,0,1,0,0,1,0,21847
119,1,116.1316602594519,90,90,1,0,0,0,1,0,0,1,0,0,0,1,0,21847
120,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,1,0,18487
121,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,0,1,0,0,23081
122,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,1,0,18487
123,1,116.1316602594519,90,90,1,0,0,1,0,0,0,0,1,1,0,0,0,21847
124,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,1,0,0,0,19927
125,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,0,1,0,0,49169
126,2,116.09922555340886,82,90,1,1,0,0,0,0,0,1,0,0,0,0,1,19927
127,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,0,0,1,0,25001
128,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,0,0,0,1,18487
129,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,0,1,0,23081
130,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,0,1,0,0,45329
131,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,1,0,18487
132,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,1,0,0,19927
133,1,324.5665668056832,252,90,1,0,1,0,0,1,0,0,0,0,0,0,1,60977
134,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,1,0,0,0,60977
135,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,1,0,0,19927
136,2,284.57330097340963,203,90,1,0,1,0,0,0,0,0,1,0,0,0,1,49169
137,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,1,0,0,0,60977
138,1,116.09922555340886,90,90,1,1,0,0,0,0,0,1,0,1,0,0,0,21847
139,3,116.09922555340886,76,90,1,1,0,0,0,0,0,1,0,1,0,0,0,18487
140,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,1,0,0,0,45329
141,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,0,0,1,0,66329
142,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,0,0,0,1,60977
143,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,0,0,1,0,60977
144,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,0,1,0,27161
145,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,0,0,0,1,19927
146,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,1,0,0,0,18487
147,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,0,0,0,1,18487
148,2,144.91306819366292,103,90,1,1,0,0,0,0,0,0,1,1,0,0,0,25001
149,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,0,1,0,0,53489
150,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,0,1,0,0,66329
151,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,1,0,0,0,19927
152,3,384.3880645071777,253,90,1,0,0,1,0,0,1,0,0,0,0,1,0,61289
153,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,1,0,0,0,53489
154,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,0,0,1,61289
155,2,384.3880645071777,274,90,1,0,0,1,0,0,1,0,0,0,1,0,0,66329
156,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,0,0,0,1,18487
157,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,1,0,0,51617
158,1,384.3880645071777,299,90,1,0,0,1,0,0,1,0,0,0,0,1,0,72329
159,1,116.1316602594519,90,90,1,0,0,0,1,0,0,1,0,0,1,0,0,21847
160,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,0,0,0,1,25001
161,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,1,0,0,19927
162,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,1,0,0,0,61289
163,1,324.5665668056832,252,90,1,0,1,0,0,1,0,0,0,0,0,0,1,60977
164,1,116.09922555340886,90,90,1,0,0,1,0,1,0,0,0,0,1,0,0,21847
165,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,0,0,1,0,18487
166,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,1,0,0,0,19927
167,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,0,1,0,0,61289
168,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,0,0,1,51617
169,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,0,0,0,1,66329
170,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,1,0,0,0,49169
171,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,0,0,0,1,19927
172,2,384.3880645071777,274,90,1,0,0,1,0,0,1,0,0,0,1,0,0,66329
173,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,0,1,0,0,23081
174,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,1,0,0,0,23081
175,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,1,0,0,27161
176,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,1,0,0,0,25001
177,1,384.3880645071777,299,90,1,0,0,1,0,0,1,0,0,0,1,0,0,72329
178,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,0,1,51617
179,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,0,1,0,0,66329
180,2,284.57330097340963,203,90,1,0,1,0,0,0,0,0,1,0,0,0,1,49169
181,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,0,0,1,23081
182,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,1,0,0,0,23081
183,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,0,1,51617
184,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,1,0,0,0,53489
185,2,284.57330097340963,203,90,1,0,1,0,0,0,0,0,1,0,1,0,0,49169
186,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,0,1,0,51617
187,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,0,1,0,27161
188,1,324.5665668056832,252,90,1,0,1,0,0,1,0,0,0,1,0,0,0,60977
189,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,1,0,0,0,53489
190,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,0,0,1,0,53489
191,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,1,0,0,19927
192,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,0,0,1,0,25001
193,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,0,1,0,27161
194,2,324.5665668056832,231,90,1,0,1,0,0,1,0,0,0,1,0,0,0,55937
195,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,1,0,0,0,45329
196,2,116.09922555340886,82,90,1,1,0,0,0,0,0,1,0,0,0,0,1,19927
197,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,1,0,0,0,18487
198,3,116.09922555340886,76,90,1,0,0,1,0,1,0,0,0,1,0,0,0,18487
199,3,284.57330097340963,187,90,1,0,1,0,0,0,0,0,1,0,0,0,1,45329
200,3,384.3880645071777,253,90,1,0,0,1,0,0,1,0,0,0,1,0,0,61289
201,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,1,0,0,0,23081
202,2,284.57330097340963,203,90,1,0,1,0,0,0,0,0,1,0,0,0,1,49169
203,3,384.3880645071777,253,90,1,0,1,0,0,0,0,1,0,1,0,0,0,61289
204,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,0,0,0,1,49169
205,2,116.09922555340886,82,90,1,1,0,0,0,0,0,1,0,0,1,0,0,19927
206,3,144.91306819366292,95,90,1,0,0,0,1,1,0,0,0,0,0,0,1,23081
207,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,1,0,0,0,18487
208,3,284.57330097340963,187,90,1,0,0,0,1,0,1,0,0,1,0,0,0,45329
209,1,116.1316602594519,90,90,1,0,0,0,1,0,0,1,0,0,0,0,1,21847
210,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,1,0,0,0,51617
211,2,144.91306819366292,103,90,1,1,0,0,0,0,0,0,1,0,1,0,0,25001
212,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,0,0,1,0,23081
213,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,1,0,0,0,53489
214,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,1,0,0,0,19927
215,3,116.09922555340886,76,90,1,1,0,0,0,0,0,1,0,0,0,0,1,18487
216,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,1,0,0,51617
217,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,1,0,0,0,18487
218,2,284.57330097340963,203,90,1,0,1,0,0,0,0,0,1,0,0,1,0,49169
219,1,384.3880645071777,299,90,1,0,1,0,0,0,0,1,0,1,0,0,0,72329
220,2,324.5665668056832,231,90,1,1,0,0,0,0,1,0,0,0,0,1,0,55937
221,3,116.09922555340886,76,90,1,1,0,0,0,0,0,1,0,0,0,1,0,18487
222,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,1,0,0,0,49169
223,3,144.91306819366292,95,90,1,1,0,0,0,0,0,0,1,0,0,0,1,23081
224,2,144.91306819366292,103,90,1,1,0,0,0,0,0,0,1,0,1,0,0,25001
225,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,1,0,0,0,60977
226,2,284.57330097340963,203,90,1,0,1,0,0,0,0,0,1,1,0,0,0,49169
227,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,0,1,0,27161
228,1,324.5665668056832,252,90,1,0,1,0,0,1,0,0,0,0,0,0,1,60977
229,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,0,1,0,0,66329
230,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,1,0,51617
231,1,116.1316602594519,90,90,1,0,0,1,0,0,0,0,1,1,0,0,0,21847
232,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,1,0,0,25001
233,1,384.3880645071777,299,90,0,0,1,0,0,0,0,1,0,1,0,0,0,72329
234,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,0,1,0,0,45329
235,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,1,0,0,53489
236,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,0,0,1,0,18487
237,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,1,0,0,0,25001
238,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,1,0,45329
239,3,324.5665668056832,213,90,0,0,1,0,0,1,0,0,0,0,1,0,0,51617
240,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,0,0,1,0,45329
241,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,0,0,0,1,45329
242,1,384.3880645071777,299,90,0,0,1,0,0,0,0,1,0,0,1,0,0,72329
243,1,284.57330097340963,221,90,0,0,0,0,1,0,1,0,0,0,0,1,0,53489
244,2,284.57330097340963,203,90,0,0,0,0,1,0,1,0,0,0,1,0,0,49169
245,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,1,0,0,0,61289
246,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,1,0,0,0,55937
247,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,1,0,0,61289
248,1,284.57330097340963,221,90,0,0,0,0,1,0,1,0,0,0,1,0,0,53489
249,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,1,0,0,0,21847
250,1,384.3880645071777,299,90,0,0,0,1,0,0,1,0,0,0,0,0,1,72329
251,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,0,1,0,0,25001
252,2,324.5665668056832,231,90,0,1,0,0,0,0,1,0,0,1,0,0,0,55937
253,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,0,0,0,1,61289
254,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,1,0,0,21847
255,1,116.09922555340886,90,90,0,1,0,0,0,0,0,1,0,0,1,0,0,21847
256,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,0,1,0,0,66329
257,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,1,0,0,0,27161
258,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,1,0,0,0,45329
259,2,116.09922555340886,82,90,0,1,0,0,0,0,0,1,0,1,0,0,0,19927
260,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,1,0,0,25001
261,2,284.57330097340963,203,90,0,0,1,0,0,0,0,0,1,0,0,0,1,49169
262,1,116.1316602594519,90,90,0,0,0,0,1,0,0,1,0,1,0,0,0,21847
263,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,1,0,0,0,25001
264,2,116.09922555340886,82,90,0,1,0,0,0,0,0,1,0,1,0,0,0,19927
265,2,116.09922555340886,82,90,0,1,0,0,0,0,0,1,0,0,0,0,1,19927
266,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,0,0,0,1,18487
267,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,0,1,55937
268,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,0,0,1,0,18487
269,3,144.91306819366292,95,90,0,1,0,0,0,0,0,0,1,1,0,0,0,23081
270,2,324.5665668056832,231,90,0,1,0,0,0,0,1,0,0,0,1,0,0,55937
271,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,0,1,0,60977
272,2,116.09922555340886,82,90,0,1,0,0,0,0,0,1,0,0,0,0,1,19927
273,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,0,0,0,1,19927
274,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,1,0,0,0,18487
275,1,384.3880645071777,299,90,0,0,0,1,0,0,1,0,0,0,1,0,0,72329
276,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,0,1,0,23081
277,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,1,0,0,21847
278,1,384.3880645071777,299,90,0,0,1,0,0,0,0,1,0,0,0,1,0,72329
279,1,116.1316602594519,90,90,0,0,0,0,1,0,0,1,0,1,0,0,0,21847
280,2,116.1316602594519,82,90,0,0,0,1,0,0,0,0,1,0,0,0,1,19927
281,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,0,1,0,0,61289
282,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,1,0,45329
283,1,116.1316602594519,90,90,0,0,0,0,1,0,0,1,0,0,1,0,0,21847
284,1,384.3880645071777,299,90,0,0,1,0,0,0,0,1,0,0,0,0,1,72329
285,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,1,0,0,0,19927
286,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,1,0,0,0,60977
287,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,0,1,0,25001
288,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,1,0,0,45329
289,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,0,0,1,0,27161
290,3,324.5665668056832,213,90,0,1,0,0,0,0,1,0,0,0,0,0,1,51617
291,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,0,1,0,0,18487
292,3,324.5665668056832,213,90,0,0,1,0,0,1,0,0,0,1,0,0,0,51617
293,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,0,1,0,0,18487
294,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,1,0,0,0,61289
295,3,324.5665668056832,213,90,0,0,1,0,0,1,0,0,0,1,0,0,0,51617
296,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,0,1,0,0,25001
297,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,1,0,0,0,18487
298,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,0,0,1,0,27161
299,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,1,0,0,25001
300,2,116.1316602594519,82,90,0,0,0,1,0,0,0,0,1,0,0,0,1,19927
301,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,0,1,0,0,18487
302,2,384.3880645071777,274,90,0,0,1,0,0,0,0,1,0,0,0,0,1,66329
303,1,284.57330097340963,221,90,0,0,0,0,1,0,1,0,0,0,0,1,0,53489
