,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Hangzhou,startLocation_Hefei,startLocation_Shanghai,startLocation_Wuxi,endLocation_Hangzhou,endLocation_Hefei,endLocation_Shanghai,endLocation_Wuxi,timespan_1,timespan_2,timespan_3,timespan_4,timespan_5,cost
26,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,0,0,0,1,0,25071
27,1,284.57330097340963,221,90,1,0,0,0,1,0,1,0,0,1,0,0,0,0,27231
28,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,0,0,1,0,26347
29,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,0,0,0,1,0,10231
30,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,0,0,1,0,0,27231
31,2,116.09922555340886,82,90,1,1,0,0,0,0,0,1,0,0,1,0,0,0,10231
32,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,0,1,0,0,0,12806
33,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,0,0,0,1,0,10231
34,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,0,0,0,1,0,12806
35,3,116.1316602594519,76,90,1,0,0,0,1,0,0,1,0,1,0,0,0,0,9511
36,2,116.09922555340886,82,90,1,0,0,1,0,1,0,0,0,1,0,0,0,0,10231
37,3,324.5665668056832,213,90,1,0,1,0,0,1,0,0,0,0,0,0,0,1,26347
38,3,116.1316602594519,76,90,1,0,0,1,0,0,0,0,1,0,1,0,0,0,9511
39,2,284.57330097340963,203,90,1,0,0,0,1,0,1,0,0,1,0,0,0,0,25071
40,2,116.1316602594519,82,90,1,0,0,0,1,0,0,1,0,1,0,0,0,0,10231
41,3,384.3880645071777,253,90,1,0,0,1,0,0,1,0,0,0,0,0,0,1,31261
42,1,144.91306819366292,112,90,1,1,0,0,0,0,0,0,1,0,1,0,0,0,13886
43,1,324.5665668056832,252,90,1,0,1,0,0,1,0,0,0,0,0,0,0,1,31027
44,1,284.57330097340963,221,90,1,0,1,0,0,0,0,0,1,0,0,0,1,0,27231
45,3,324.5665668056832,213,90,1,1,0,0,0,0,1,0,0,0,0,0,0,1,26347
46,2,144.91306819366292,103,90,1,0,0,0,1,1,0,0,0,0,0,0,0,1,12806
47,1,116.1316602594519,90,90,1,0,0,1,0,0,0,0,1,0,0,0,0,1,11191
48,2,384.3880645071777,274,90,1,0,1,0,0,0,0,1,0,0,0,0,1,0,33781
49,2,116.09922555340886,82,90,1,1,0,0,0,0,0,1,0,0,0,0,0,1,10231
50,2,116.1316602594519,82,90,1,0,0,1,0,0,0,0,1,1,0,0,0,0,10231
51,1,384.3880645071777,299,90,1,0,1,0,0,0,0,1,0,0,0,0,1,0,36781
52,1,324.5665668056832,252,90,1,1,0,0,0,0,1,0,0,0,0,0,0,1,31027
53,3,324.5665668056832,213,90,0,0,1,0,0,1,0,0,0,0,0,1,0,0,26347
54,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,1,0,0,0,0,10231
55,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11191
56,1,116.09922555340886,90,90,0,0,0,1,0,1,0,0,0,0,0,1,0,0,11191
57,3,324.5665668056832,213,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,26347
58,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,13886
59,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,1,0,0,0,0,13886
60,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,27231
61,3,324.5665668056832,213,90,0,1,0,0,0,0,1,0,0,0,0,1,0,0,26347
62,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,0,0,1,0,0,13886
63,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,13886
64,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,31027
65,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,1,0,0,0,0,9511
66,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,0,1,0,0,31261
67,2,384.3880645071777,274,90,0,0,1,0,0,0,0,1,0,1,0,0,0,0,33781
68,2,284.57330097340963,203,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,25071
69,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,1,0,0,0,0,33781
70,2,284.57330097340963,203,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,25071
71,1,116.09922555340886,90,90,0,1,0,0,0,0,0,1,0,0,0,1,0,0,11191
72,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,12806
73,3,144.91306819366292,95,90,0,1,0,0,0,0,0,0,1,0,0,0,1,0,11846
74,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,1,0,0,0,0,9511
75,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,0,1,0,23151
76,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,31027
77,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,31027
78,2,324.5665668056832,231,90,0,1,0,0,0,0,1,0,0,0,0,1,0,0,28507
79,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,1,0,0,0,27231
80,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,0,0,0,1,0,9511
81,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,1,0,0,0,0,9511
82,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,1,0,0,0,0,33781
83,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,1,0,0,0,0,12806
84,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,1,0,0,0,0,10231
85,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10231
86,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,1,0,0,0,31261
87,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,1,0,0,28507
88,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,31027
89,2,116.09922555340886,82,90,0,1,0,0,0,0,0,1,0,1,0,0,0,0,10231
90,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,1,0,0,0,0,10231
91,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,27231
92,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,13886
93,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,1,0,0,0,0,12806
94,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,1,0,0,0,0,28507
95,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,11846
96,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,12806
97,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9511
98,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,28507
99,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,13886
100,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9511
101,3,324.5665668056832,213,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,26347
102,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,0,0,0,1,0,33781
103,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,0,0,0,0,1,9511
104,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11191
105,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,11846
106,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,1,0,0,0,0,23151
107,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,1,0,0,0,27231
108,1,116.1316602594519,90,90,0,0,0,0,1,0,0,1,0,0,0,0,1,0,11191
109,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,1,0,0,23151
110,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,0,0,1,0,12806
111,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,0,1,0,0,0,31027
112,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,13886
113,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,0,0,1,23151
114,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,0,0,0,1,0,23151
115,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,23151
116,2,324.5665668056832,231,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,28507
117,1,384.3880645071777,299,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,36781
118,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11191
119,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31261
120,1,384.3880645071777,299,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,36781
121,3,144.91306819366292,95,90,0,1,0,0,0,0,0,0,1,0,0,0,1,0,11846
122,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,11846
123,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,0,1,0,0,31261
124,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,0,0,0,1,0,23151
125,2,384.3880645071777,274,90,0,0,1,0,0,0,0,1,0,1,0,0,0,0,33781
126,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,1,0,0,0,12806
127,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11191
128,2,116.09922555340886,82,90,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10231
129,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,1,0,0,0,0,23151
130,2,324.5665668056832,231,90,0,1,0,0,0,0,1,0,0,0,1,0,0,0,28507
131,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,27231
132,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,0,0,1,0,23151
133,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,31027
134,2,284.57330097340963,203,90,0,0,0,0,1,0,1,0,0,0,1,0,0,0,25071
135,1,116.09922555340886,90,90,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11191
136,2,324.5665668056832,231,90,0,1,0,0,0,0,1,0,0,0,1,0,0,0,28507
137,2,116.1316602594519,82,90,0,0,0,0,1,0,0,1,0,0,1,0,0,0,10231
138,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9511
139,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,0,1,0,0,0,9511
140,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10231
141,1,116.1316602594519,90,90,0,0,0,0,1,0,0,1,0,0,0,0,0,1,11191
142,3,284.57330097340963,187,90,0,0,0,0,1,0,1,0,0,0,1,0,0,0,23151
143,2,116.1316602594519,82,90,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10231
144,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,0,1,0,0,0,13886
145,2,324.5665668056832,231,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,28336
146,1,324.5665668056832,252,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,30856
147,3,116.09922555340886,76,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,9340
148,3,284.57330097340963,187,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,22980
149,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,12635
150,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31090
151,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,31090
152,1,324.5665668056832,252,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,30856
153,3,144.91306819366292,95,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,11675
154,1,116.09922555340886,90,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,11020
155,2,284.57330097340963,203,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,24900
156,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,31090
157,2,116.09922555340886,82,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,10060
158,3,116.1316602594519,76,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,9340
159,1,144.91306819366292,112,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,13715
160,1,116.09922555340886,90,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,11020
161,1,116.09922555340886,90,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,11020
162,1,384.3880645071777,299,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,36610
163,2,384.3880645071777,274,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,33610
164,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31090
165,1,324.5665668056832,252,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,30856
166,1,144.91306819366292,112,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,13715
167,2,144.91306819366292,103,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,12635
168,3,284.57330097340963,187,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,22980
169,2,144.91306819366292,103,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,12635
170,2,116.09922555340886,82,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,10060
171,3,284.57330097340963,187,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,22980
172,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,28336
173,3,144.91306819366292,95,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,11675
174,2,324.5665668056832,231,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,28336
175,2,384.3880645071777,274,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,33610
176,3,284.57330097340963,187,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,22980
177,1,284.57330097340963,221,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,27060
178,1,116.09922555340886,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,11020
179,1,144.91306819366292,112,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,13715
180,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,12635
181,3,144.91306819366292,95,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,11675
182,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,28336
183,1,116.1316602594519,90,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11020
184,2,116.1316602594519,82,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,10060
185,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,28336
186,3,116.09922555340886,76,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,9340
187,3,144.91306819366292,95,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,11675
188,2,116.09922555340886,82,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10060
189,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31090
190,1,284.57330097340963,221,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,27060
191,3,116.1316602594519,76,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9340
192,2,116.1316602594519,82,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,10060
193,1,116.1316602594519,90,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,11020
194,1,284.57330097340963,221,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,27060
195,3,144.91306819366292,95,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,11675
196,1,324.5665668056832,252,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,30856
197,1,384.3880645071777,299,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,36610
198,1,384.3880645071777,299,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,36610
199,2,384.3880645071777,274,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,33610
200,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,28336
201,3,116.09922555340886,76,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,9340
202,2,116.1316602594519,82,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,10060
203,3,144.91306819366292,95,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,11675
204,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,28336
205,1,116.09922555340886,90,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,11020
206,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,28336
207,1,116.1316602594519,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11020
208,1,116.09922555340886,90,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,11020
209,2,324.5665668056832,231,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,28336
210,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,28336
211,3,116.1316602594519,76,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9340
212,2,384.3880645071777,274,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,33610
213,3,324.5665668056832,213,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,26176
214,2,284.57330097340963,203,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,24900
215,3,144.91306819366292,95,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,11675
216,3,324.5665668056832,213,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,26176
217,1,324.5665668056832,252,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,30856
218,3,284.57330097340963,187,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,22980
219,1,116.1316602594519,90,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,11020
220,2,284.57330097340963,203,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,24900
221,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,31090
222,2,324.5665668056832,231,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,28336
223,1,284.57330097340963,221,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,27060
224,1,116.09922555340886,90,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,11020
225,2,116.09922555340886,82,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,10060
226,2,384.3880645071777,274,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,33610
227,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12635
228,3,116.09922555340886,76,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,9340
229,1,144.91306819366292,112,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,13715
230,2,324.5665668056832,231,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,28336
231,3,144.91306819366292,95,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,11675
232,2,144.91306819366292,103,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,12635
233,1,116.1316602594519,90,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,11020
234,3,116.09922555340886,76,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,9340
235,3,116.1316602594519,76,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,9340
236,2,116.1316602594519,82,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,10060
237,2,116.09922555340886,82,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,10060
238,2,384.3880645071777,274,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,33610
239,1,116.1316602594519,90,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11020
240,3,284.57330097340963,187,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22980
241,2,116.1316602594519,82,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,10060
242,1,144.91306819366292,112,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,13715
243,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31090
244,3,144.91306819366292,95,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,11675
245,2,284.57330097340963,203,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,24900
246,2,384.3880645071777,274,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,33610
247,1,324.5665668056832,252,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,30856
248,3,144.91306819366292,95,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,11675
249,1,116.1316602594519,90,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,11020
250,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,31090
251,3,116.1316602594519,76,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9340
252,3,284.57330097340963,187,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,22980
253,1,324.5665668056832,252,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,30856
254,3,324.5665668056832,213,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,26176
255,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,12635
256,3,324.5665668056832,213,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,26176
257,1,284.57330097340963,221,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,27060
258,2,116.1316602594519,82,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,10060
259,1,384.3880645071777,299,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,36610
260,1,116.09922555340886,90,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,11020
261,3,324.5665668056832,213,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,26176
262,2,116.09922555340886,82,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,10060
263,3,144.91306819366292,95,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11675
264,3,324.5665668056832,213,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,26176
265,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,31090
266,3,284.57330097340963,187,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22980
267,2,284.57330097340963,203,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,24900
268,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12635
269,3,116.09922555340886,76,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,9340
270,1,116.09922555340886,90,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,11020
271,3,324.5665668056832,213,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,26176
272,1,116.1316602594519,90,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,11020
273,1,116.09922555340886,90,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,11020
274,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,31090
275,3,144.91306819366292,95,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11675
276,1,384.3880645071777,299,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,36610
277,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,12635
278,3,324.5665668056832,213,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,26176
279,3,324.5665668056832,213,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,26176
280,2,144.91306819366292,103,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,12635
281,2,116.09922555340886,82,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,10060
282,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12635
283,1,144.91306819366292,112,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,13715
284,2,116.09922555340886,82,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,10060
285,1,144.91306819366292,112,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,13715
286,2,116.09922555340886,82,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,10060
287,3,284.57330097340963,187,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,22980
288,1,324.5665668056832,252,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,30856
289,3,116.1316602594519,76,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,9340
290,1,384.3880645071777,299,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,36610
