,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Chengdu,startLocation_Chongqing,startLocation_Guiyang,startLocation_Kunming,endLocation_Chengdu,endLocation_Chongqing,endLocation_Guiyang,endLocation_Kunming,timespan_2,timespan_3,timespan_4,cost
56,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,1,0,0,48801
57,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,0,0,1,90842
58,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,0,1,89146
59,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,0,1,0,98402
60,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,0,1,96496
61,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,0,1,0,83726
62,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,0,1,0,105316
63,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,1,0,98402
64,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,0,1,0,83726
65,1,637.9145943128929,497,90,1,1,0,0,0,0,0,0,1,0,0,1,105316
66,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,0,1,48801
67,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,0,0,1,107222
68,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,1,0,0,83726
69,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,0,0,1,107222
70,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,1,0,0,90842
71,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,0,1,0,76796
72,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,1,0,48801
73,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,1,0,0,76796
74,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,1,0,0,98402
75,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,1,0,0,64934
76,3,323.90751532178933,213,90,1,0,0,1,0,0,1,0,0,0,0,1,45268
77,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,0,0,1,105316
78,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,1,0,45268
79,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,1,0,0,64934
80,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,1,0,45268
81,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,1,0,0,83726
82,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,1,0,45268
83,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,0,0,1,53458
84,3,650.2676800234859,428,90,1,0,1,0,0,0,0,0,1,0,1,0,90842
85,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,1,0,0,70814
86,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,1,0,64934
87,1,637.9145943128929,497,90,1,1,0,0,0,0,0,0,1,1,0,0,105316
88,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,0,1,0,107222
89,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,1,83726
90,3,323.90751532178933,213,90,1,0,0,1,0,0,1,0,0,1,0,0,45268
91,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,0,1,0,70916
92,2,323.90751532178933,231,90,1,0,1,0,0,0,0,1,0,0,0,1,49048
93,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,0,0,1,41451
94,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,1,83726
95,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,0,1,96496
96,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,0,1,96496
97,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,1,0,0,107222
98,3,429.15928932709096,282,90,1,0,0,1,0,0,0,0,1,0,0,1,59894
99,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,0,0,1,90842
100,3,650.2676800234859,428,90,1,0,1,0,0,0,0,0,1,0,0,1,90842
101,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,0,1,45268
102,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,1,0,48801
103,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,0,1,0,76796
104,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,0,1,89146
105,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,1,0,0,41451
106,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,0,0,1,83726
107,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,0,1,70814
108,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,1,0,59894
109,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,1,0,0,64934
110,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,1,0,0,44811
111,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,0,1,70814
112,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,0,0,1,107222
113,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,0,1,0,90842
114,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,1,0,0,90842
115,3,637.9145943128929,420,90,1,0,0,0,1,1,0,0,0,0,1,0,89146
116,3,429.15928932709096,282,90,1,0,0,1,0,0,0,0,1,1,0,0,59894
117,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,0,1,0,98402
118,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,0,1,0,70814
119,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,0,0,1,64934
120,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,0,1,89146
121,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,1,0,0,41451
122,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,1,0,0,90842
123,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,1,0,0,90842
124,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,1,0,59894
125,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,1,0,0,107222
126,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,1,0,0,49048
127,1,637.9145943128929,497,90,1,1,0,0,0,0,0,0,1,0,1,0,105316
128,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,0,0,1,49048
129,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,1,0,0,59894
130,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,0,1,44811
131,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,0,1,0,59894
132,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,0,1,0,49048
133,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,0,1,0,105316
134,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,1,0,0,76796
135,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,1,0,44811
136,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,0,1,0,70916
137,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,0,0,1,49048
138,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,0,1,0,49048
139,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,0,1,70814
140,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,1,0,0,70916
141,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,0,1,0,76796
142,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,0,1,0,105316
143,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,1,0,0,45268
144,3,429.15928932709096,282,90,1,0,0,0,1,0,0,1,0,1,0,0,59894
145,3,507.4562962497442,334,90,1,1,0,0,0,0,0,1,0,0,0,1,70916
146,2,637.9145943128929,455,90,1,0,0,0,1,1,0,0,0,0,1,0,96496
147,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,1,0,98402
148,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,0,0,1,53458
149,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,1,0,64934
150,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,1,0,0,64934
151,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,1,0,0,49048
152,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,0,0,1,70814
153,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,0,0,1,76796
154,1,507.4562962497442,395,90,1,0,0,1,0,1,0,0,0,0,0,1,83726
155,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,1,0,0,41451
156,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,1,0,89146
157,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,1,0,0,64934
158,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,1,0,0,44811
159,1,637.9145943128929,497,90,1,1,0,0,0,0,0,0,1,1,0,0,105316
160,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,0,1,0,44811
161,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,0,1,64934
162,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,0,0,1,41451
163,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,0,0,1,41451
164,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,1,0,48801
165,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,1,0,0,44811
166,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,1,0,0,45268
167,3,637.9145943128929,420,90,1,0,0,0,1,1,0,0,0,1,0,0,89146
168,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,1,0,0,90842
169,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,0,1,45268
170,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,0,0,1,107222
171,3,323.90751532178933,213,90,1,0,1,0,0,0,0,1,0,0,0,1,45268
172,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,0,1,0,44811
173,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,0,1,0,41451
174,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,0,1,0,44811
175,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,1,0,98402
176,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,1,0,76796
177,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,0,1,0,107222
178,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,0,1,0,41451
179,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,0,0,1,64934
180,2,429.15928932709096,306,90,1,0,0,0,1,0,0,1,0,1,0,0,64934
181,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,0,1,96496
182,1,296.0347511595893,230,90,1,1,0,0,0,0,1,0,0,1,0,0,48801
183,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,1,0,0,107222
184,2,507.4562962497442,362,90,1,0,0,1,0,1,0,0,0,0,0,1,76796
185,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,1,0,98402
186,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,1,83726
187,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,1,0,48801
188,3,650.2676800234859,428,90,1,0,1,0,0,0,0,0,1,0,1,0,90842
189,3,323.90751532178933,213,90,1,0,0,1,0,0,1,0,0,0,1,0,45268
190,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,1,0,0,107222
191,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,1,0,0,53458
192,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,0,1,70814
193,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,0,0,1,44811
194,3,507.4562962497442,334,90,1,1,0,0,0,0,0,1,0,0,1,0,70916
195,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,0,0,1,107222
196,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,0,1,0,107222
197,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,0,1,98402
198,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,1,0,0,48801
199,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,1,0,0,76796
200,1,323.90751532178933,252,90,1,0,0,1,0,0,1,0,0,0,1,0,53458
201,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,1,0,0,90842
202,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,1,0,0,64934
203,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,0,0,1,70814
204,2,637.9145943128929,455,90,1,0,0,0,1,1,0,0,0,0,1,0,96496
205,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,0,1,0,41451
206,2,507.4562962497442,362,90,1,1,0,0,0,0,0,1,0,0,1,0,76796
207,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,1,0,44811
208,3,650.2676800234859,428,90,1,0,1,0,0,0,0,0,1,0,0,1,90842
209,1,637.9145943128929,497,90,1,0,0,0,1,1,0,0,0,1,0,0,105316
210,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,1,83726
211,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,1,0,48801
212,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,1,0,0,107222
213,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,0,1,0,90842
214,3,429.15928932709096,282,90,1,0,0,1,0,0,0,0,1,0,1,0,59894
215,1,429.15928932709096,334,90,1,0,0,1,0,0,0,0,1,0,1,0,70814
216,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,0,1,0,41451
217,2,296.0347511595893,211,90,1,1,0,0,0,0,1,0,0,0,1,0,44811
218,3,637.9145943128929,420,90,1,1,0,0,0,0,0,0,1,0,1,0,89146
219,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,1,0,0,53458
220,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,1,0,0,98402
221,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,1,0,0,53458
222,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,1,0,0,96496
223,3,296.0347511595893,195,90,1,1,0,0,0,0,1,0,0,0,1,0,41451
224,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,0,0,1,107222
225,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,1,83726
226,1,296.0347511595893,230,90,1,1,0,0,0,0,1,0,0,0,0,1,48801
227,3,650.2676800234859,428,90,1,0,0,0,1,0,1,0,0,0,0,1,90842
228,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,1,0,0,98402
229,1,650.2676800234859,506,90,1,0,0,0,1,0,1,0,0,0,1,0,107222
230,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,1,0,0,83726
231,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,0,1,0,48801
232,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,0,0,1,70916
233,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,1,0,0,98402
234,2,650.2676800234859,464,90,1,0,0,0,1,0,1,0,0,0,0,1,98402
235,3,296.0347511595893,195,90,1,0,1,0,0,1,0,0,0,0,0,1,41451
236,2,323.90751532178933,231,90,1,0,1,0,0,0,0,1,0,0,0,1,49048
237,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,1,83726
238,3,507.4562962497442,334,90,1,0,0,1,0,1,0,0,0,0,1,0,70916
239,1,507.4562962497442,395,90,1,1,0,0,0,0,0,1,0,0,0,1,83726
240,1,296.0347511595893,230,90,1,0,1,0,0,1,0,0,0,1,0,0,48801
241,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,0,1,64934
242,1,637.9145943128929,497,90,1,1,0,0,0,0,0,0,1,1,0,0,105316
243,2,429.15928932709096,306,90,1,0,0,1,0,0,0,0,1,0,1,0,64934
244,3,323.90751532178933,213,90,1,0,0,1,0,0,1,0,0,0,1,0,45268
245,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,0,1,0,53458
246,2,650.2676800234859,464,90,1,0,1,0,0,0,0,0,1,0,0,1,98402
247,2,296.0347511595893,211,90,1,0,1,0,0,1,0,0,0,0,0,1,44811
248,1,650.2676800234859,506,90,1,0,1,0,0,0,0,0,1,0,0,1,107222
249,2,323.90751532178933,231,90,1,0,0,1,0,0,1,0,0,1,0,0,49048
250,1,323.90751532178933,252,90,1,0,1,0,0,0,0,1,0,0,1,0,53458
251,1,637.9145943128929,497,90,1,1,0,0,0,0,0,0,1,0,0,1,105316
252,2,637.9145943128929,455,90,1,1,0,0,0,0,0,0,1,0,1,0,96496
253,1,429.15928932709096,334,90,1,0,0,0,1,0,0,1,0,1,0,0,70814
254,1,429.15928932709096,334,0,0,0,0,0,1,0,0,1,0,1,0,0,70697
255,1,637.9145943128929,497,0,0,0,0,0,1,1,0,0,0,1,0,0,105199
256,2,429.15928932709096,306,0,0,0,0,0,1,0,0,1,0,0,0,1,64817
257,1,650.2676800234859,506,0,0,0,1,0,0,0,0,0,1,1,0,0,107105
258,3,637.9145943128929,420,0,0,1,0,0,0,0,0,0,1,1,0,0,89029
259,3,429.15928932709096,282,0,0,0,0,1,0,0,0,0,1,1,0,0,59777
260,3,637.9145943128929,420,0,0,1,0,0,0,0,0,0,1,1,0,0,89029
261,3,323.90751532178933,213,0,0,0,1,0,0,0,0,1,0,0,0,1,45151
262,3,507.4562962497442,334,0,0,1,0,0,0,0,0,1,0,0,0,1,70799
263,3,296.0347511595893,195,0,0,1,0,0,0,0,1,0,0,0,0,1,41334
264,1,507.4562962497442,395,0,0,1,0,0,0,0,0,1,0,1,0,0,83609
265,1,296.0347511595893,230,0,0,0,1,0,0,1,0,0,0,1,0,0,48684
266,2,296.0347511595893,211,0,0,0,1,0,0,1,0,0,0,0,0,1,44694
267,1,296.0347511595893,230,0,0,1,0,0,0,0,1,0,0,0,0,1,48684
268,1,637.9145943128929,497,0,0,0,0,0,1,1,0,0,0,0,1,0,105199
269,3,296.0347511595893,195,0,0,1,0,0,0,0,1,0,0,1,0,0,41334
270,1,637.9145943128929,497,0,0,1,0,0,0,0,0,0,1,1,0,0,105199
271,3,323.90751532178933,213,0,0,0,1,0,0,0,0,1,0,1,0,0,45151
272,3,637.9145943128929,420,0,0,1,0,0,0,0,0,0,1,0,1,0,89029
273,1,323.90751532178933,252,0,0,0,1,0,0,0,0,1,0,0,1,0,53341
274,3,637.9145943128929,420,0,0,0,0,0,1,1,0,0,0,0,1,0,89029
275,3,429.15928932709096,282,0,0,0,0,1,0,0,0,0,1,1,0,0,59777
276,1,650.2676800234859,506,0,0,0,1,0,0,0,0,0,1,1,0,0,107105
277,1,507.4562962497442,395,0,0,0,0,1,0,1,0,0,0,0,0,1,83609
278,3,323.90751532178933,213,0,0,0,0,1,0,0,1,0,0,0,1,0,45151
279,3,650.2676800234859,428,0,0,0,0,0,1,0,1,0,0,0,0,1,90725
280,3,650.2676800234859,428,0,0,0,0,0,1,0,1,0,0,0,0,1,90725
281,1,429.15928932709096,334,0,0,0,0,1,0,0,0,0,1,1,0,0,70697
282,2,650.2676800234859,464,0,0,0,0,0,1,0,1,0,0,0,0,1,98285
283,1,637.9145943128929,497,0,0,0,0,0,1,1,0,0,0,0,1,0,105199
284,1,507.4562962497442,395,0,0,0,0,1,0,1,0,0,0,1,0,0,83609
285,2,296.0347511595893,211,0,0,0,1,0,0,1,0,0,0,0,0,1,44694
286,3,637.9145943128929,420,0,0,0,0,0,1,1,0,0,0,0,1,0,89029
287,3,637.9145943128929,420,0,0,0,0,0,1,1,0,0,0,0,0,1,89029
288,2,637.9145943128929,455,0,0,1,0,0,0,0,0,0,1,0,0,1,96379
289,3,429.15928932709096,282,0,0,0,0,0,1,0,0,1,0,0,0,1,59777
290,3,650.2676800234859,428,0,0,0,1,0,0,0,0,0,1,0,0,1,90725
291,1,637.9145943128929,497,0,0,1,0,0,0,0,0,0,1,0,0,1,105199
292,2,429.15928932709096,306,0,0,0,0,1,0,0,0,0,1,0,0,1,64817
293,3,323.90751532178933,213,0,0,0,1,0,0,0,0,1,0,0,0,1,45151
294,1,637.9145943128929,497,0,0,0,0,0,1,1,0,0,0,0,0,1,105199
295,2,650.2676800234859,464,0,0,0,0,0,1,0,1,0,0,0,1,0,98285
296,2,296.0347511595893,211,0,0,0,1,0,0,1,0,0,0,1,0,0,44694
297,3,507.4562962497442,334,0,0,0,0,1,0,1,0,0,0,0,0,1,70799
298,3,507.4562962497442,334,0,0,1,0,0,0,0,0,1,0,0,0,1,70799
299,3,429.15928932709096,282,0,0,0,0,1,0,0,0,0,1,1,0,0,59777
300,1,650.2676800234859,506,0,0,0,1,0,0,0,0,0,1,0,0,1,107105
301,1,296.0347511595893,230,0,0,1,0,0,0,0,1,0,0,1,0,0,48684
302,2,507.4562962497442,362,0,0,1,0,0,0,0,0,1,0,0,1,0,76679
303,2,650.2676800234859,464,0,0,0,1,0,0,0,0,0,1,1,0,0,98285
304,1,296.0347511595893,230,0,0,1,0,0,0,0,1,0,0,0,1,0,48684
305,2,507.4562962497442,362,0,0,0,0,1,0,1,0,0,0,0,0,1,76679
306,2,507.4562962497442,362,0,0,1,0,0,0,0,0,1,0,1,0,0,76679
307,1,429.15928932709096,334,0,0,0,0,0,1,0,0,1,0,0,0,1,70697
308,2,637.9145943128929,455,0,0,0,0,0,1,1,0,0,0,1,0,0,96379
309,2,637.9145943128929,455,0,0,0,0,0,1,1,0,0,0,0,1,0,96379
310,3,650.2676800234859,428,0,0,0,0,0,1,0,1,0,0,1,0,0,90725
311,3,507.4562962497442,334,0,0,0,0,1,0,1,0,0,0,0,1,0,70799
312,1,637.9145943128929,497,0,0,0,0,0,1,1,0,0,0,0,1,0,105199
313,1,637.9145943128929,497,0,0,1,0,0,0,0,0,0,1,1,0,0,105199
314,1,507.4562962497442,395,0,0,0,0,1,0,1,0,0,0,1,0,0,83609
315,3,296.0347511595893,195,0,0,0,1,0,0,1,0,0,0,1,0,0,41334
316,1,429.15928932709096,334,0,0,0,0,1,0,0,0,0,1,1,0,0,70697
317,3,650.2676800234859,428,0,0,0,1,0,0,0,0,0,1,0,1,0,90725
318,3,429.15928932709096,282,0,0,0,0,1,0,0,0,0,1,1,0,0,59777
