,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Hangzhou,startLocation_Hefei,startLocation_Shanghai,startLocation_Wuxi,endLocation_Hangzhou,endLocation_Hefei,endLocation_Shanghai,endLocation_Wuxi,timespan_2,timespan_3,timespan_4,timespan_5,cost
140,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,0,1,0,17269
141,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,0,0,1,0,11812
142,2,284.57330097340963,203,90,0,0,0,0,1,0,1,0,0,0,0,0,1,31199
143,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,0,0,1,17269
144,2,284.57330097340963,203,90,0,0,1,0,0,0,0,0,1,0,0,0,1,31199
145,2,324.5665668056832,231,90,0,1,0,0,0,0,1,0,0,0,0,1,0,35479
146,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,1,0,0,0,13912
147,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,0,0,0,1,11812
148,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,0,0,1,15919
149,1,284.57330097340963,221,90,0,0,0,0,1,0,1,0,0,0,1,0,0,33899
150,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,0,1,0,38898
151,1,116.09922555340886,90,90,0,1,0,0,0,0,0,1,0,0,0,1,0,13912
152,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,0,0,1,14719
153,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,1,0,0,38629
154,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,1,0,35479
155,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,0,0,0,1,17269
156,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,1,0,0,33899
157,3,324.5665668056832,213,90,0,1,0,0,0,0,1,0,0,0,0,0,1,32779
158,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,0,1,0,38629
159,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,0,0,1,0,11812
160,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,0,0,1,14719
161,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,0,0,1,0,11812
162,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,1,0,0,0,38898
163,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,0,0,1,0,17269
164,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,0,1,0,0,42048
165,2,116.09922555340886,82,90,0,1,0,0,0,0,0,1,0,0,0,0,1,12712
166,1,384.3880645071777,299,90,0,0,0,1,0,0,1,0,0,1,0,0,0,45798
167,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,1,0,0,0,42048
168,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,1,0,0,0,38898
169,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,1,0,0,0,42048
170,3,324.5665668056832,213,90,0,1,0,0,0,0,1,0,0,1,0,0,0,32779
171,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,1,0,0,38629
172,1,384.3880645071777,299,90,0,0,0,1,0,0,1,0,0,1,0,0,0,45798
173,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,1,0,35479
174,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,1,0,0,33899
175,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,0,1,0,14719
176,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,0,1,0,0,11812
177,3,384.3880645071777,253,90,0,0,0,1,0,0,1,0,0,0,0,1,0,38898
178,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,0,0,1,0,42048
179,2,116.1316602594519,82,90,0,0,0,1,0,0,0,0,1,0,1,0,0,12712
180,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,1,0,0,13912
181,1,144.91306819366292,112,90,0,1,0,0,0,0,0,0,1,0,1,0,0,17269
182,2,144.91306819366292,103,90,0,1,0,0,0,0,0,0,1,0,0,0,1,15919
183,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,0,0,1,0,38629
184,2,116.1316602594519,82,90,0,0,0,0,1,0,0,1,0,0,1,0,0,12712
185,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,1,0,0,0,13912
186,2,384.3880645071777,274,90,0,0,0,1,0,0,1,0,0,0,1,0,0,42048
187,1,284.57330097340963,221,90,0,0,1,0,0,0,0,0,1,0,1,0,0,33899
188,2,324.5665668056832,231,90,0,1,0,0,0,0,1,0,0,0,1,0,0,35479
189,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,0,1,0,13912
190,3,116.1316602594519,76,90,0,0,0,1,0,0,0,0,1,0,0,0,1,11812
191,3,116.09922555340886,76,90,0,1,0,0,0,0,0,1,0,0,0,0,1,11812
192,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,0,0,1,0,11812
193,3,116.09922555340886,76,90,0,0,0,1,0,1,0,0,0,0,0,0,1,11812
194,1,116.09922555340886,90,90,0,0,0,1,0,1,0,0,0,1,0,0,0,13912
195,3,144.91306819366292,95,90,0,1,0,0,0,0,0,0,1,1,0,0,0,14719
196,1,284.57330097340963,221,90,0,0,0,0,1,0,1,0,0,0,1,0,0,33899
197,1,284.57330097340963,221,90,0,0,0,0,1,0,1,0,0,0,1,0,0,33899
198,3,116.1316602594519,76,90,0,0,0,0,1,0,0,1,0,1,0,0,0,11812
199,3,116.09922555340886,76,90,0,1,0,0,0,0,0,1,0,1,0,0,0,11812
200,2,116.09922555340886,82,90,0,0,0,1,0,1,0,0,0,0,1,0,0,12712
201,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,1,0,0,35479
202,2,324.5665668056832,231,90,0,0,1,0,0,1,0,0,0,0,0,0,1,35479
203,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,0,0,1,0,38629
204,1,144.91306819366292,112,90,0,0,0,0,1,1,0,0,0,1,0,0,0,17269
205,3,284.57330097340963,187,90,0,0,1,0,0,0,0,0,1,0,0,0,1,28799
206,2,116.1316602594519,82,90,0,0,0,0,1,0,0,1,0,1,0,0,0,12712
207,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,1,0,0,38898
208,3,144.91306819366292,95,90,0,0,0,0,1,1,0,0,0,0,0,0,1,14719
209,2,144.91306819366292,103,90,0,0,0,0,1,1,0,0,0,0,1,0,0,15919
210,2,324.5665668056832,231,90,0,1,0,0,0,0,1,0,0,0,1,0,0,35479
211,1,116.1316602594519,90,90,0,0,0,1,0,0,0,0,1,0,0,0,1,13912
212,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,1,0,0,0,38629
213,1,324.5665668056832,252,90,0,1,0,0,0,0,1,0,0,0,0,0,1,38629
214,1,324.5665668056832,252,90,0,0,1,0,0,1,0,0,0,0,0,0,1,38629
215,3,144.91306819366292,95,90,0,1,0,0,0,0,0,0,1,0,0,1,0,14719
216,1,384.3880645071777,299,90,0,0,0,1,0,0,1,0,0,0,0,1,0,45798
217,3,384.3880645071777,253,90,0,0,1,0,0,0,0,1,0,0,1,0,0,38898
218,3,116.1316602594519,76,0,0,0,0,1,0,0,0,0,1,1,0,0,0,11632
219,1,144.91306819366292,112,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17089
220,2,384.3880645071777,274,0,0,0,1,0,0,0,0,1,0,1,0,0,0,41868
221,2,116.09922555340886,82,0,0,0,0,1,0,1,0,0,0,0,0,0,1,12532
222,1,144.91306819366292,112,0,0,0,0,0,1,1,0,0,0,0,1,0,0,17089
223,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,0,0,0,1,38718
224,2,384.3880645071777,274,0,0,0,1,0,0,0,0,1,0,1,0,0,0,41868
225,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,0,0,1,0,38718
226,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,0,1,0,38718
227,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,0,0,0,1,35299
228,3,116.1316602594519,76,0,0,0,0,1,0,0,0,0,1,0,1,0,0,11632
229,1,384.3880645071777,299,0,0,0,0,1,0,0,1,0,0,0,0,0,1,45618
230,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,0,0,1,0,35299
231,3,116.1316602594519,76,0,0,0,0,0,1,0,0,1,0,0,0,0,1,11632
232,3,324.5665668056832,213,0,0,1,0,0,0,0,1,0,0,1,0,0,0,32599
233,1,384.3880645071777,299,0,0,0,1,0,0,0,0,1,0,1,0,0,0,45618
234,2,116.09922555340886,82,0,0,0,0,1,0,1,0,0,0,0,1,0,0,12532
235,2,144.91306819366292,103,0,0,0,0,0,1,1,0,0,0,1,0,0,0,15739
236,3,116.1316602594519,76,0,0,0,0,1,0,0,0,0,1,0,0,1,0,11632
237,1,284.57330097340963,221,0,0,0,0,0,1,0,1,0,0,0,1,0,0,33719
238,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,0,1,0,38718
239,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,0,1,0,0,38718
240,1,116.1316602594519,90,0,0,0,0,0,1,0,0,1,0,0,1,0,0,13732
241,2,144.91306819366292,103,0,0,0,0,0,1,1,0,0,0,0,0,0,1,15739
242,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,0,0,0,1,15739
243,1,116.09922555340886,90,0,0,0,0,1,0,1,0,0,0,1,0,0,0,13732
244,2,116.1316602594519,82,0,0,0,0,1,0,0,0,0,1,0,0,1,0,12532
245,3,324.5665668056832,213,0,0,0,1,0,0,1,0,0,0,1,0,0,0,32599
246,3,324.5665668056832,213,0,0,0,1,0,0,1,0,0,0,0,0,1,0,32599
247,1,144.91306819366292,112,0,0,1,0,0,0,0,0,0,1,0,0,0,1,17089
248,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,0,1,0,0,15739
249,2,144.91306819366292,103,0,0,0,0,0,1,1,0,0,0,0,0,1,0,15739
250,1,384.3880645071777,299,0,0,0,1,0,0,0,0,1,0,0,0,0,1,45618
251,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,1,0,0,0,38718
252,2,144.91306819366292,103,0,0,1,0,0,0,0,0,0,1,0,0,0,1,15739
253,1,284.57330097340963,221,0,0,0,1,0,0,0,0,0,1,0,0,0,1,33719
254,3,144.91306819366292,95,0,0,0,0,0,1,1,0,0,0,1,0,0,0,14539
255,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,0,1,0,38718
256,2,324.5665668056832,231,0,0,1,0,0,0,0,1,0,0,1,0,0,0,35299
257,2,116.1316602594519,82,0,0,0,0,0,1,0,0,1,0,0,0,0,1,12532
258,1,384.3880645071777,299,0,0,0,0,1,0,0,1,0,0,0,1,0,0,45618
259,2,324.5665668056832,231,0,0,1,0,0,0,0,1,0,0,0,1,0,0,35299
260,1,116.09922555340886,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,13732
261,1,284.57330097340963,221,0,0,0,0,0,1,0,1,0,0,0,1,0,0,33719
262,3,324.5665668056832,213,0,0,0,1,0,0,1,0,0,0,0,0,0,1,32599
263,1,284.57330097340963,221,0,0,0,1,0,0,0,0,0,1,1,0,0,0,33719
264,2,116.1316602594519,82,0,0,0,0,1,0,0,0,0,1,1,0,0,0,12532
265,1,144.91306819366292,112,0,0,1,0,0,0,0,0,0,1,1,0,0,0,17089
266,3,324.5665668056832,213,0,0,1,0,0,0,0,1,0,0,0,1,0,0,32599
267,3,116.09922555340886,76,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11632
268,1,324.5665668056832,252,0,0,0,1,0,0,1,0,0,0,1,0,0,0,38449
269,1,284.57330097340963,221,0,0,0,1,0,0,0,0,0,1,0,0,1,0,33719
270,1,116.09922555340886,90,0,0,1,0,0,0,0,0,1,0,0,0,0,1,13732
271,2,324.5665668056832,231,0,0,0,1,0,0,1,0,0,0,0,0,0,1,35299
272,2,116.09922555340886,82,0,0,1,0,0,0,0,0,1,0,1,0,0,0,12532
273,3,144.91306819366292,95,0,0,1,0,0,0,0,0,0,1,0,0,1,0,14539
274,3,284.57330097340963,187,0,0,0,0,0,1,0,1,0,0,0,0,1,0,28619
275,2,324.5665668056832,231,0,0,1,0,0,0,0,1,0,0,0,0,1,0,35299
276,3,116.09922555340886,76,0,0,0,0,1,0,1,0,0,0,0,1,0,0,11632
277,1,324.5665668056832,252,0,0,0,1,0,0,1,0,0,0,0,0,0,1,38449
278,2,116.1316602594519,82,0,0,0,0,0,1,0,0,1,0,0,0,0,1,12532
279,1,324.5665668056832,252,0,0,0,1,0,0,1,0,0,0,0,0,1,0,38449
280,3,144.91306819366292,95,0,0,1,0,0,0,0,0,0,1,0,0,1,0,14539
281,1,324.5665668056832,252,0,0,0,1,0,0,1,0,0,0,1,0,0,0,38449
282,2,144.91306819366292,103,0,0,0,0,0,1,1,0,0,0,1,0,0,0,15739
283,3,116.1316602594519,76,0,0,0,0,1,0,0,0,0,1,0,0,0,1,11632
284,3,144.91306819366292,95,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14539
285,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,1,0,0,0,38718
286,3,284.57330097340963,187,0,0,0,1,0,0,0,0,0,1,1,0,0,0,28619
287,3,384.3880645071777,253,0,0,0,1,0,0,0,0,1,0,0,0,0,1,38718
288,3,144.91306819366292,95,0,0,0,0,0,1,1,0,0,0,0,1,0,0,14539
289,2,384.3880645071777,274,0,0,0,0,1,0,0,1,0,0,0,0,1,0,41868
290,3,116.09922555340886,76,0,0,0,0,1,0,1,0,0,0,1,0,0,0,11632
291,2,144.91306819366292,103,0,0,0,0,0,1,1,0,0,0,0,0,1,0,15739
292,2,116.09922555340886,82,0,0,1,0,0,0,0,0,1,0,0,1,0,0,12532
293,3,116.09922555340886,76,0,0,0,0,1,0,1,0,0,0,1,0,0,0,11632
294,3,284.57330097340963,187,0,0,0,0,0,1,0,1,0,0,0,0,1,0,28619
295,1,116.1316602594519,90,0,0,0,0,1,0,0,0,0,1,0,0,1,0,13732
296,1,116.1316602594519,90,0,0,0,0,0,1,0,0,1,0,0,0,1,0,13732
297,2,384.3880645071777,274,0,0,0,1,0,0,0,0,1,0,0,0,1,0,41868
298,2,384.3880645071777,274,0,0,0,1,0,0,0,0,1,0,1,0,0,0,41868
299,1,284.57330097340963,221,0,0,0,0,0,1,0,1,0,0,0,0,0,1,33719
300,3,384.3880645071777,253,0,0,0,0,1,0,0,1,0,0,0,0,0,1,38718
301,1,116.1316602594519,90,0,0,0,0,1,0,0,0,0,1,0,1,0,0,13732
302,2,284.57330097340963,203,0,0,0,1,0,0,0,0,0,1,0,0,1,0,31019
303,1,384.3880645071777,299,0,0,0,1,0,0,0,0,1,0,0,0,0,1,45618
