,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Beijing,startLocation_Shijiazhuang,startLocation_Taiyuan,startLocation_Tianjin,endLocation_Beijing,endLocation_Shijiazhuang,endLocation_Taiyuan,endLocation_Tianjin,timespan_2,timespan_3,timespan_4,timespan_5,cost
23,2,413.7816180343131,295,90,1,0,0,1,0,0,0,0,1,0,1,0,0,54107
24,2,249.51407691799224,178,90,1,0,0,0,1,0,1,0,0,1,0,0,0,32719
25,2,115.9264829993114,82,90,1,1,0,0,0,0,0,0,1,0,0,0,1,15171
26,2,115.9264829993114,82,90,1,0,0,0,1,1,0,0,0,0,0,0,1,15171
27,3,413.7816180343131,272,90,1,0,0,1,0,0,0,0,1,0,0,1,0,49967
28,3,115.9264829993114,76,90,1,0,0,0,1,1,0,0,0,1,0,0,0,14091
29,3,413.7816180343131,272,90,1,0,0,1,0,0,0,0,1,0,0,0,1,49967
30,3,369.5257904633235,243,90,1,0,0,1,0,1,0,0,0,0,0,0,1,44659
31,1,413.7816180343131,322,90,1,0,0,1,0,0,0,0,1,0,0,0,1,58967
32,1,175.76892590155305,136,90,1,0,0,1,0,0,1,0,0,1,0,0,0,25011
33,2,249.51407691799224,178,90,1,0,1,0,0,0,0,0,1,0,0,1,0,32719
34,1,238.62308745286492,185,90,1,0,1,0,0,1,0,0,0,1,0,0,0,33957
35,3,175.76892590155305,115,90,1,0,1,0,0,0,0,1,0,0,1,0,0,21231
36,2,238.62308745286492,170,90,1,0,1,0,0,1,0,0,0,0,1,0,0,31257
37,1,175.76892590155305,136,90,1,0,1,0,0,0,0,1,0,0,0,0,1,25011
38,2,249.51407691799224,178,90,1,0,1,0,0,0,0,0,1,0,1,0,0,32719
39,2,369.5257904633235,263,90,1,0,0,1,0,1,0,0,0,0,0,1,0,48259
40,1,249.51407691799224,194,90,1,0,1,0,0,0,0,0,1,0,1,0,0,35599
41,3,238.62308745286492,157,90,1,1,0,0,0,0,1,0,0,1,0,0,0,28917
42,1,369.5257904633235,287,90,1,1,0,0,0,0,0,1,0,0,0,1,0,52579
43,3,369.5257904633235,243,90,1,1,0,0,0,0,0,1,0,1,0,0,0,44659
44,1,369.5257904633235,287,90,1,1,0,0,0,0,0,1,0,0,1,0,0,52579
45,1,413.7816180343131,322,90,1,0,0,0,1,0,0,1,0,0,0,1,0,58967
46,1,249.51407691799224,194,90,1,0,0,0,1,0,1,0,0,0,0,1,0,35599
47,2,369.5257904633235,263,90,1,0,0,1,0,1,0,0,0,0,1,0,0,48259
48,2,115.9264829993114,82,90,1,0,0,0,1,1,0,0,0,0,0,1,0,15171
49,2,238.62308745286492,170,90,1,0,1,0,0,1,0,0,0,0,0,1,0,31257
50,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,0,0,1,0,35599
51,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,1,0,0,0,58967
52,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,0,1,0,54107
53,1,115.9264829993114,90,90,0,1,0,0,0,0,0,0,1,0,0,0,1,16611
54,3,369.5257904633235,243,90,0,0,0,1,0,1,0,0,0,1,0,0,0,44659
55,2,238.62308745286492,170,90,0,1,0,0,0,0,1,0,0,0,0,1,0,31257
56,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,1,0,0,0,33957
57,1,115.9264829993114,90,90,0,1,0,0,0,0,0,0,1,0,0,1,0,16611
58,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,0,1,0,0,35599
59,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,0,0,0,1,49967
60,1,413.7816180343131,322,90,0,0,0,1,0,0,0,0,1,0,0,1,0,58967
61,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,0,0,1,0,58967
62,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,0,0,1,0,48259
63,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,1,0,0,0,32719
64,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,0,0,1,54107
65,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,1,0,0,0,44659
66,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,0,0,1,15171
67,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,0,0,1,44659
68,2,369.5257904633235,263,90,0,1,0,0,0,0,0,1,0,0,1,0,0,48259
69,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,1,0,0,0,21231
70,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,0,1,0,44659
71,1,249.51407691799224,194,90,0,0,0,0,1,0,1,0,0,0,0,0,1,35599
72,3,175.76892590155305,115,90,0,0,1,0,0,0,0,1,0,0,0,0,1,21231
73,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,1,0,0,44659
74,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,1,0,33957
75,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,0,0,1,0,58967
76,3,115.9264829993114,76,90,0,0,0,0,1,1,0,0,0,0,0,0,1,14091
77,1,249.51407691799224,194,90,0,0,0,0,1,0,1,0,0,0,0,0,1,35599
78,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,0,0,1,0,21231
79,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,0,0,1,16611
80,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,0,1,0,0,32719
81,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,0,0,1,0,49967
82,2,413.7816180343131,295,90,0,0,0,1,0,0,0,0,1,0,0,0,1,54107
83,2,115.9264829993114,82,90,0,0,0,0,1,1,0,0,0,1,0,0,0,15171
84,1,175.76892590155305,136,90,0,0,0,1,0,0,1,0,0,0,1,0,0,25011
85,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,0,0,0,1,23031
86,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,0,0,1,0,23031
87,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,1,0,0,0,33957
88,1,175.76892590155305,136,90,0,0,0,1,0,0,1,0,0,0,0,0,1,25011
89,3,369.5257904633235,243,90,0,0,0,1,0,1,0,0,0,0,0,1,0,44659
90,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,1,0,0,16611
91,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,0,1,0,44659
92,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,1,0,33957
93,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,1,0,0,0,48259
94,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,0,1,33957
95,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,1,0,0,0,52579
96,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,1,0,0,0,52579
97,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,0,0,0,1,21231
98,1,369.5257904633235,287,90,0,0,0,1,0,1,0,0,0,0,1,0,0,52579
99,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,1,0,0,0,49967
100,2,413.7816180343131,295,90,0,0,0,1,0,0,0,0,1,0,0,1,0,54107
101,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,1,0,0,0,21231
102,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,0,1,0,0,58967
103,1,175.76892590155305,136,90,0,0,0,1,0,0,1,0,0,0,0,1,0,25011
104,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,0,0,1,0,21231
105,1,413.7816180343131,322,90,0,0,0,1,0,0,0,0,1,0,0,0,1,58967
106,3,249.51407691799224,164,90,0,0,0,0,1,0,1,0,0,0,0,1,0,30199
107,3,115.9264829993114,76,90,0,1,0,0,0,0,0,0,1,0,0,1,0,14091
108,2,413.7816180343131,295,90,0,0,0,1,0,0,0,0,1,0,1,0,0,54107
109,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,0,0,0,1,49967
110,1,369.5257904633235,287,90,0,0,0,1,0,1,0,0,0,1,0,0,0,52579
111,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,1,0,0,44659
112,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,1,0,0,54107
113,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,0,0,1,0,35599
114,3,115.9264829993114,76,90,0,1,0,0,0,0,0,0,1,0,0,1,0,14091
115,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,0,0,1,0,52579
116,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,1,0,0,0,48259
117,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,1,0,33957
118,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,1,0,0,0,33957
119,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,0,0,1,44659
120,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,1,0,0,15171
121,3,175.76892590155305,115,90,0,0,1,0,0,0,0,1,0,1,0,0,0,21231
122,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,0,1,0,0,49967
123,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,0,1,33957
124,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,0,0,1,0,52579
125,1,115.9264829993114,90,90,0,1,0,0,0,0,0,0,1,0,0,0,1,16611
126,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30019
127,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,1,0,0,0,52399
128,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,0,1,0,58787
129,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,0,1,0,16431
130,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13911
131,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,1,0,0,0,32539
132,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,1,0,0,0,24831
133,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,1,0,52399
134,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,1,0,0,52399
135,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,0,1,49787
136,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,0,1,0,0,21051
137,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,0,1,0,0,44479
138,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,0,1,0,58787
139,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,0,1,52399
140,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31077
141,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,0,0,1,28737
142,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,1,0,0,58787
143,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,0,0,0,1,32539
144,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,0,1,0,48079
145,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,0,0,0,1,35419
146,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,1,0,49787
147,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,1,0,35419
148,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,1,0,0,0,30019
149,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,0,1,0,0,14991
150,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,1,0,0,0,58787
151,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,1,0,0,0,32539
152,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,1,0,0,58787
153,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,1,0,52399
154,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,0,1,0,0,44479
155,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,0,0,1,48079
156,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,0,1,0,53927
157,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,1,0,48079
158,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,1,0,0,30019
159,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,0,1,0,0,14991
160,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22851
161,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,0,1,48079
162,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,1,0,53927
163,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,0,1,0,14991
164,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,0,0,1,0,32539
165,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,1,0,0,13911
166,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,1,0,0,33777
167,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,0,0,0,1,32539
168,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,1,0,0,0,33777
169,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,1,0,0,30019
170,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,1,0,0,48079
171,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,1,0,0,52399
172,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,1,0,0,13911
173,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,1,0,35419
174,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,0,0,0,1,32539
175,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,0,0,0,1,21051
176,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,1,0,0,0,53927
177,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,1,0,49787
178,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,0,0,1,58787
179,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24831
180,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,0,1,0,33777
181,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,0,0,1,0,32539
182,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,1,0,0,0,48079
183,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22851
184,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,1,0,53927
185,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,1,0,30019
186,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,0,0,1,33777
187,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,0,0,1,0,21051
188,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,1,0,0,0,48079
189,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,1,0,35419
190,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,1,0,0,0,16431
191,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24831
192,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,0,0,1,0,13911
193,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,1,0,0,0,44479
194,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,1,0,0,52399
195,1,115.9264829993114,90,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16431
196,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31077
197,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,1,0,30019
198,3,369.5257904633235,243,0,0,1,0,0,0,0,0,1,0,0,1,0,0,44479
199,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,1,0,0,0,24831
200,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,0,1,0,58787
201,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22851
202,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,0,1,0,32539
203,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,1,0,0,0,32539
204,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,1,0,0,32539
205,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,1,0,0,0,22851
206,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,1,0,0,0,53927
207,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,0,1,35419
208,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,1,0,0,33777
209,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24831
210,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,0,1,52399
211,2,238.62308745286492,170,0,0,1,0,0,0,0,1,0,0,0,0,1,0,31077
212,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,0,0,0,1,21051
213,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21051
214,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,0,0,1,14991
215,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,1,0,0,28737
216,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,1,0,0,28737
217,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13911
218,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,1,0,0,0,24831
219,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,0,1,0,14991
220,2,238.62308745286492,170,0,0,1,0,0,0,0,1,0,0,0,0,1,0,31077
221,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,0,0,1,58787
222,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22851
223,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,0,1,48079
224,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,1,0,0,24831
225,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21051
226,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,1,0,35419
227,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,0,1,48079
228,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,0,1,0,0,44479
229,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,0,0,0,1,31077
230,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,1,0,53927
231,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,0,0,1,48079
232,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,1,0,0,0,48079
233,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,1,0,0,58787
234,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,1,0,0,53927
235,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,0,0,1,0,30019
236,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16431
237,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,1,0,0,52399
238,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,0,0,1,14991
239,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,0,1,0,0,44479
240,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,1,0,0,14991
241,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21051
242,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,0,1,0,33777
243,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31077
244,2,238.62308745286492,170,0,0,1,0,0,0,0,1,0,0,1,0,0,0,31077
245,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,0,0,1,0,44479
246,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24831
247,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,0,0,0,1,33777
248,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,1,0,0,21051
249,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,0,1,0,16431
250,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,0,0,1,0,30019
251,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,0,1,0,48079
252,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,1,0,52399
253,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,1,0,0,49787
254,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24831
255,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,1,0,0,0,21051
256,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,0,0,0,1,14991
257,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,1,0,30019
258,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,0,1,0,0,35419
259,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,1,0,0,48079
260,3,369.5257904633235,243,0,0,1,0,0,0,0,0,1,0,0,0,1,0,44479
261,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,0,1,24831
262,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,0,1,48079
263,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,0,0,1,53927
264,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,0,1,0,0,14991
265,1,115.9264829993114,90,0,0,0,0,0,1,1,0,0,0,1,0,0,0,16431
266,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,0,1,53927
267,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24831
268,2,238.62308745286492,170,0,0,1,0,0,0,0,1,0,0,0,1,0,0,31077
269,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,1,0,0,0,22851
270,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,1,0,52399
271,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,1,0,0,13911
272,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,0,1,0,0,30019
273,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,0,1,0,58787
274,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16431
275,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,1,0,0,0,28737
276,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,1,0,0,21051
277,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,1,0,0,0,44479
278,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,1,0,0,0,49787
279,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,1,0,0,0,49787
280,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,0,0,0,1,35419
281,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,0,0,0,1,35419
282,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22851
283,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,0,0,1,0,21051
284,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,0,0,1,0,28737
285,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,0,0,0,1,28737
286,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,1,0,0,0,22851
287,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,1,0,52399
288,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,0,1,0,32539
289,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,0,0,0,1,21051
290,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,1,0,0,0,33777
291,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,0,0,1,13911
292,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,0,1,52399
293,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22851
294,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,1,0,49787
295,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,1,0,0,0,21051
296,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,0,0,1,0,28737
297,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,0,1,0,0,35419
298,3,369.5257904633235,243,0,0,1,0,0,0,0,0,1,0,0,0,0,1,44479
299,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24831
300,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,0,1,30019
301,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,1,0,0,16431
302,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,0,1,0,0,13911
303,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,1,0,0,0,30019
