,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Beijing,startLocation_Shijiazhuang,startLocation_Taiyuan,startLocation_Tianjin,endLocation_Beijing,endLocation_Shijiazhuang,endLocation_Taiyuan,endLocation_Tianjin,timespan_2,timespan_3,timespan_4,timespan_5,timespan_6,cost
22,1,249.51407691799224,194,90,1,0,0,0,1,0,1,0,0,1,0,0,0,0,49280
23,2,175.76892590155305,125,90,1,0,0,1,0,0,1,0,0,0,0,0,1,0,31861
24,1,238.62308745286492,185,90,1,1,0,0,0,0,1,0,0,0,0,0,0,1,47005
25,2,369.5257904633235,263,90,1,1,0,0,0,0,0,1,0,0,1,0,0,0,66806
26,1,175.76892590155305,136,90,1,0,1,0,0,0,0,1,0,0,0,1,0,0,34611
27,1,413.7816180343131,322,90,1,0,0,1,0,0,0,0,1,0,0,1,0,0,81658
28,1,175.76892590155305,136,90,1,0,0,1,0,0,1,0,0,0,0,1,0,0,34611
29,3,413.7816180343131,272,90,1,0,0,1,0,0,0,0,1,0,1,0,0,0,69158
30,1,369.5257904633235,287,90,1,1,0,0,0,0,0,1,0,0,1,0,0,0,72806
31,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,1,0,0,0,43255
32,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,1,0,0,0,0,69158
33,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,0,0,1,0,74908
34,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,49280
35,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,0,1,0,47005
36,3,115.9264829993114,76,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,19473
37,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,0,1,0,0,0,45280
38,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,47005
39,3,238.62308745286492,157,90,0,0,1,0,0,1,0,0,0,0,0,1,0,0,40005
40,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,1,0,0,0,0,31861
41,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,0,1,0,0,0,69158
42,2,413.7816180343131,295,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,74908
43,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,0,0,0,1,0,72806
44,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,0,0,0,0,1,69158
45,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,47005
46,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,1,0,0,0,20973
47,3,369.5257904633235,243,90,0,0,0,1,0,1,0,0,0,1,0,0,0,0,61806
48,2,238.62308745286492,170,90,0,1,0,0,0,0,1,0,0,0,0,0,1,0,43255
49,2,249.51407691799224,178,90,0,0,0,0,1,0,1,0,0,0,0,0,0,1,45280
50,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,20973
51,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,47005
52,3,238.62308745286492,157,90,0,1,0,0,0,0,1,0,0,0,1,0,0,0,40005
53,3,249.51407691799224,164,90,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41780
54,2,238.62308745286492,170,90,0,1,0,0,0,0,1,0,0,0,0,0,1,0,43255
55,3,115.9264829993114,76,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,19473
56,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,0,1,0,0,22973
57,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,1,0,0,0,0,69158
58,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,0,1,0,0,0,49280
59,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,43255
60,2,249.51407691799224,178,90,0,0,0,0,1,0,1,0,0,1,0,0,0,0,45280
61,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,1,0,0,47005
62,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,0,1,0,0,43255
63,1,175.76892590155305,136,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,34611
64,2,115.9264829993114,82,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,20973
65,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,61806
66,2,238.62308745286492,170,90,0,1,0,0,0,0,1,0,0,0,0,1,0,0,43255
67,1,249.51407691799224,194,90,0,0,0,0,1,0,1,0,0,1,0,0,0,0,49280
68,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,31861
69,1,115.9264829993114,90,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,22973
70,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,0,0,1,0,0,81658
71,3,238.62308745286492,157,90,0,0,1,0,0,1,0,0,0,0,1,0,0,0,40005
72,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,1,0,0,0,0,66806
73,3,249.51407691799224,164,90,0,0,0,0,1,0,1,0,0,0,0,0,1,0,41780
74,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,0,0,0,1,0,31861
75,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,0,0,0,0,1,66806
76,2,413.7816180343131,295,90,0,0,0,1,0,0,0,0,1,1,0,0,0,0,74908
77,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,29361
78,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,47005
79,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,47005
80,1,115.9264829993114,90,90,0,1,0,0,0,0,0,0,1,0,1,0,0,0,22973
81,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,1,0,0,0,0,31861
82,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,0,1,0,0,20973
83,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,1,0,0,0,0,22973
84,3,115.9264829993114,76,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,19473
85,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,22973
86,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,20973
87,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,0,1,0,0,74908
88,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,0,0,0,0,1,49280
89,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,43255
90,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,29361
91,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,0,0,0,1,0,49280
92,2,413.7816180343131,295,90,0,0,0,1,0,0,0,0,1,0,0,0,0,1,74908
93,1,175.76892590155305,136,90,0,0,1,0,0,0,0,1,0,0,0,1,0,0,34611
94,1,413.7816180343131,322,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,81658
95,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,22973
96,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,0,1,0,0,74908
97,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,1,0,0,0,0,29361
98,1,369.5257904633235,287,90,0,0,0,1,0,1,0,0,0,0,0,1,0,0,72806
99,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,29361
100,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,1,0,0,0,74908
101,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,0,1,0,0,0,69158
102,3,175.76892590155305,115,90,0,0,1,0,0,0,0,1,0,0,0,0,0,1,29361
103,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,0,1,0,0,74908
104,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,22973
105,2,175.76892590155305,125,90,0,0,1,0,0,0,0,1,0,0,0,1,0,0,31861
106,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,1,0,0,0,61806
107,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,45280
108,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,20973
109,3,115.9264829993114,76,90,0,0,0,0,1,1,0,0,0,0,0,1,0,0,19473
110,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,0,0,1,0,74908
111,1,249.51407691799224,194,90,0,0,0,0,1,0,1,0,0,0,0,1,0,0,49280
112,3,238.62308745286492,157,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40005
113,3,175.76892590155305,115,90,0,0,1,0,0,0,0,1,0,1,0,0,0,0,29361
114,2,369.5257904633235,263,90,0,1,0,0,0,0,0,1,0,0,1,0,0,0,66806
115,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,43255
116,1,175.76892590155305,136,90,0,0,1,0,0,0,0,1,0,0,0,0,1,0,34611
117,1,115.9264829993114,90,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,22973
118,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,0,1,0,0,43255
119,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,1,0,0,0,0,72806
120,3,238.62308745286492,157,90,0,1,0,0,0,0,1,0,0,0,0,1,0,0,40005
121,3,369.5257904633235,243,90,0,0,0,1,0,1,0,0,0,0,0,0,0,1,61806
122,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,0,0,1,0,0,81658
123,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,22973
124,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,69158
125,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31861
126,3,249.51407691799224,164,90,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41780
127,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,0,1,0,0,22973
128,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,61806
129,2,249.51407691799224,178,90,0,0,0,0,1,0,1,0,0,1,0,0,0,0,45280
130,2,413.7816180343131,295,90,0,0,0,1,0,0,0,0,1,0,1,0,0,0,74908
131,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,22973
132,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,1,0,0,0,74908
133,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,0,0,1,0,0,69158
134,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,0,1,0,0,20973
135,2,249.51407691799224,178,90,0,0,0,0,1,0,1,0,0,0,0,0,1,0,45280
136,3,249.51407691799224,164,90,0,0,0,0,1,0,1,0,0,1,0,0,0,0,41780
137,2,249.51407691799224,178,90,0,0,0,0,1,0,1,0,0,0,0,0,0,1,45280
138,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,1,0,0,47005
139,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,0,1,0,0,61806
140,1,115.9264829993114,90,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,22973
141,1,249.51407691799224,194,90,0,0,0,0,1,0,1,0,0,1,0,0,0,0,49280
142,1,369.5257904633235,287,90,0,0,0,1,0,1,0,0,0,1,0,0,0,0,72806
143,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,0,1,0,47005
144,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,1,0,0,0,0,61806
145,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,0,0,0,1,0,45280
146,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,0,1,0,0,0,66806
147,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,1,0,0,0,0,43255
148,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,1,0,0,0,0,49280
149,3,175.76892590155305,115,90,0,0,1,0,0,0,0,1,0,0,1,0,0,0,29361
150,1,175.76892590155305,136,90,0,0,1,0,0,0,0,1,0,0,0,0,0,1,34611
151,1,413.7816180343131,322,90,0,0,0,1,0,0,0,0,1,1,0,0,0,0,81658
152,2,369.5257904633235,263,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,66806
153,2,238.62308745286492,170,90,0,1,0,0,0,0,1,0,0,0,0,0,1,0,43255
154,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,49280
155,2,115.9264829993114,82,90,0,0,0,0,1,1,0,0,0,0,0,1,0,0,20973
156,3,249.51407691799224,164,90,0,0,1,0,0,0,0,0,1,0,0,0,0,1,41780
157,3,115.9264829993114,76,90,0,1,0,0,0,0,0,0,1,0,0,0,1,0,19473
158,2,115.9264829993114,82,90,0,0,0,0,1,1,0,0,0,0,0,1,0,0,20973
159,2,115.9264829993114,82,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,20973
160,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,1,0,0,0,0,45280
161,1,369.5257904633235,287,90,0,0,0,1,0,1,0,0,0,0,0,0,1,0,72806
162,2,413.7816180343131,295,90,0,0,0,1,0,0,0,0,1,1,0,0,0,0,74908
163,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,0,0,0,1,0,45280
164,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,31861
165,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,47005
166,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,1,0,0,0,0,47005
167,3,175.76892590155305,115,90,0,0,1,0,0,0,0,1,0,0,0,0,0,1,29361
168,3,115.9264829993114,76,90,0,1,0,0,0,0,0,0,1,0,0,0,1,0,19473
169,2,238.62308745286492,170,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,43255
170,1,369.5257904633235,287,90,0,0,0,1,0,1,0,0,0,0,0,1,0,0,72806
171,2,413.7816180343131,295,90,0,0,0,1,0,0,0,0,1,0,0,0,0,1,74908
172,3,249.51407691799224,164,90,0,0,0,0,1,0,1,0,0,0,0,1,0,0,41780
173,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,47005
174,2,175.76892590155305,125,90,0,0,1,0,0,0,0,1,0,0,0,1,0,0,31861
175,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,47005
176,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,47005
177,1,369.5257904633235,287,90,0,0,0,1,0,1,0,0,0,0,0,0,0,1,72806
178,3,369.5257904633235,243,90,0,0,0,1,0,1,0,0,0,0,0,1,0,0,61806
179,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,0,0,1,0,0,66806
180,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,0,0,0,0,1,81658
181,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,0,0,1,0,0,69158
182,2,369.5257904633235,263,90,0,1,0,0,0,0,0,1,0,1,0,0,0,0,66806
183,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,1,0,0,0,0,69158
184,1,115.9264829993114,90,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,22973
185,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,0,0,0,0,1,45280
186,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,47005
187,3,238.62308745286492,157,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,40005
188,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,0,1,0,0,0,69158
189,2,115.9264829993114,82,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,20973
190,3,175.76892590155305,115,90,0,0,1,0,0,0,0,1,0,0,0,0,0,1,29361
191,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,1,0,0,0,0,45280
192,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,61806
193,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,0,1,0,0,0,29361
194,1,175.76892590155305,136,90,0,0,1,0,0,0,0,1,0,0,0,1,0,0,34611
195,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,47005
196,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,1,0,0,0,0,74908
197,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,1,0,0,0,0,66806
198,3,115.9264829993114,76,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,19473
199,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,0,0,0,0,1,69158
200,2,175.76892590155305,125,90,0,0,1,0,0,0,0,1,0,1,0,0,0,0,31861
201,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,0,0,0,1,0,45280
202,3,249.51407691799224,164,90,0,0,1,0,0,0,0,0,1,0,1,0,0,0,41780
203,3,369.5257904633235,243,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,61806
204,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,0,0,0,0,1,69158
205,3,238.62308745286492,157,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,40005
206,2,175.76892590155305,125,90,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31861
207,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,0,1,0,0,0,72806
208,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,1,0,0,0,0,29361
209,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,0,1,0,0,0,66806
210,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,0,1,0,47005
211,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,1,0,0,0,0,74908
212,2,175.76892590155305,125,90,0,0,1,0,0,0,0,1,0,1,0,0,0,0,31861
213,1,413.7816180343131,322,90,0,0,0,1,0,0,0,0,1,0,0,1,0,0,81658
214,3,115.9264829993114,76,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,19473
215,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,1,0,0,0,0,45280
216,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,0,0,1,0,74908
217,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,47005
218,1,369.5257904633235,287,90,0,0,0,1,0,1,0,0,0,0,0,0,1,0,72806
219,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31861
220,1,175.76892590155305,136,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,34611
221,2,175.76892590155305,125,90,0,0,1,0,0,0,0,1,0,0,1,0,0,0,31861
222,2,238.62308745286492,170,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,43255
223,3,115.9264829993114,76,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,19473
224,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,0,0,1,0,20973
225,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,0,0,0,1,0,81658
226,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,0,0,0,0,1,69158
227,2,238.62308745286492,170,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,43255
228,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,1,0,0,0,0,45280
229,3,115.9264829993114,76,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,19473
230,3,238.62308745286492,157,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,40005
231,3,249.51407691799224,164,90,0,0,1,0,0,0,0,0,1,0,1,0,0,0,41780
232,3,175.76892590155305,115,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,29361
233,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,43255
234,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,0,0,1,0,0,81658
235,3,238.62308745286492,157,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40005
236,3,249.51407691799224,164,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,41780
237,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,20973
238,3,238.62308745286492,157,90,0,0,1,0,0,1,0,0,0,0,1,0,0,0,40005
239,1,175.76892590155305,136,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,34611
240,1,175.76892590155305,136,90,0,0,0,1,0,0,1,0,0,0,0,0,1,0,34611
241,3,115.9264829993114,76,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,19473
242,2,249.51407691799224,178,90,0,0,0,0,1,0,1,0,0,0,0,0,1,0,45280
243,3,115.9264829993114,76,90,0,1,0,0,0,0,0,0,1,0,0,1,0,0,19473
244,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,1,0,0,0,0,74908
245,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,72806
246,1,413.7816180343131,322,90,0,0,0,1,0,0,0,0,1,0,0,0,0,1,81658
247,1,249.51407691799224,194,90,0,0,1,0,0,0,0,0,1,1,0,0,0,0,49280
248,2,249.51407691799224,178,90,0,0,0,0,1,0,1,0,0,1,0,0,0,0,45280
249,2,369.5257904633235,263,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,66806
250,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,47005
251,1,175.76892590155305,136,90,0,0,0,1,0,0,1,0,0,0,1,0,0,0,34611
252,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,1,0,0,0,0,45280
253,2,175.76892590155305,125,90,0,0,1,0,0,0,0,1,0,0,0,0,1,0,31861
254,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,0,0,0,1,0,69158
255,3,413.7816180343131,272,90,0,0,0,0,1,0,0,1,0,0,0,0,0,1,69158
256,3,238.62308745286492,157,90,0,1,0,0,0,0,1,0,0,0,0,0,0,1,40005
257,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,1,0,0,0,43255
258,2,115.9264829993114,82,90,0,1,0,0,0,0,0,0,1,0,0,1,0,0,20973
259,2,369.5257904633235,263,90,0,1,0,0,0,0,0,1,0,0,1,0,0,0,66806
260,3,413.7816180343131,272,90,0,0,0,1,0,0,0,0,1,0,0,0,1,0,69158
261,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,43255
262,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,1,0,0,0,47005
263,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,0,0,1,47005
264,3,115.9264829993114,76,90,0,1,0,0,0,0,0,0,1,0,0,0,1,0,19473
265,3,115.9264829993114,76,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,19473
266,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,72806
267,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,0,0,1,0,0,47005
268,3,115.9264829993114,76,90,0,0,0,0,1,1,0,0,0,0,0,0,1,0,19473
269,2,175.76892590155305,125,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,31861
270,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,72806
271,1,413.7816180343131,322,90,0,0,0,0,1,0,0,1,0,0,1,0,0,0,81658
272,2,413.7816180343131,295,90,0,0,0,0,1,0,0,1,0,0,0,0,1,0,74908
273,3,238.62308745286492,157,90,0,0,1,0,0,1,0,0,0,0,1,0,0,0,40005
274,2,369.5257904633235,263,90,0,0,0,1,0,1,0,0,0,0,0,0,1,0,66806
275,1,249.51407691799224,194,90,0,0,0,0,1,0,1,0,0,0,0,0,0,1,49280
276,2,115.9264829993114,82,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,20973
277,1,115.9264829993114,90,90,0,1,0,0,0,0,0,0,1,0,0,1,0,0,22973
278,1,369.5257904633235,287,90,0,1,0,0,0,0,0,1,0,0,0,1,0,0,72806
279,3,369.5257904633235,243,90,0,0,0,1,0,1,0,0,0,0,0,1,0,0,61806
280,1,369.5257904633235,287,90,0,0,0,1,0,1,0,0,0,0,0,0,0,1,72806
281,1,249.51407691799224,194,90,0,0,0,0,1,0,1,0,0,0,0,0,0,1,49280
282,1,413.7816180343131,322,90,0,0,0,1,0,0,0,0,1,0,0,0,0,1,81658
283,1,238.62308745286492,185,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,47005
284,2,369.5257904633235,263,90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,66806
285,1,238.62308745286492,185,90,0,1,0,0,0,0,1,0,0,1,0,0,0,0,47005
286,2,238.62308745286492,170,90,0,0,1,0,0,1,0,0,0,0,0,0,1,0,43255
287,2,249.51407691799224,178,90,0,0,1,0,0,0,0,0,1,0,0,1,0,0,45280
288,3,369.5257904633235,243,90,0,0,0,1,0,1,0,0,0,0,1,0,0,0,61806
289,1,249.51407691799224,194,90,0,0,0,0,1,0,1,0,0,0,0,1,0,0,49280
290,3,249.51407691799224,164,90,0,0,1,0,0,0,0,0,1,0,1,0,0,0,41780
