,Age,workclass,People,Education,EduNum,Marriage,WorkType,Family,Race,Sex,capitalgain,capitalloss,hours,Country,IncomeRes
29,49,2.0,193366,1.0,9,1.0,6.0,1.0,0.0,0.0,0,0,40,0.0,0.0
30,23,4.0,190709,6.0,12,0.0,12.0,0.0,0.0,0.0,0,0,52,0.0,0.0
31,20,2.0,266015,5.0,10,0.0,5.0,3.0,1.0,0.0,0,0,44,0.0,0.0
32,45,2.0,386940,0.0,13,2.0,1.0,3.0,0.0,0.0,0,1408,40,0.0,0.0
33,30,3.0,59951,5.0,10,1.0,0.0,3.0,0.0,0.0,0,0,40,0.0,0.0
34,22,0.0,311512,5.0,10,1.0,4.0,1.0,1.0,0.0,0,0,15,0.0,0.0
35,48,2.0,242406,2.0,7,0.0,9.0,4.0,0.0,0.0,0,0,40,7.0,0.0
36,21,2.0,197200,5.0,10,0.0,9.0,3.0,0.0,0.0,0,0,40,0.0,0.0
37,19,2.0,544091,1.0,9,5.0,0.0,2.0,0.0,1.0,0,0,25,0.0,0.0
38,31,2.0,84154,5.0,10,1.0,5.0,1.0,0.0,0.0,0,0,38,4.0,1.0
39,48,1.0,265477,6.0,12,1.0,3.0,1.0,0.0,0.0,0,0,40,0.0,0.0
40,31,2.0,507875,4.0,5,1.0,9.0,1.0,0.0,0.0,0,0,43,0.0,0.0
41,53,1.0,88506,0.0,13,1.0,3.0,1.0,0.0,0.0,0,0,40,0.0,0.0
42,24,2.0,172987,0.0,13,1.0,10.0,1.0,0.0,0.0,0,0,50,0.0,0.0
43,49,2.0,94638,1.0,9,4.0,0.0,4.0,0.0,1.0,0,0,40,0.0,0.0
44,25,2.0,289980,1.0,9,0.0,2.0,0.0,0.0,0.0,0,0,35,0.0,0.0
45,57,3.0,337895,0.0,13,1.0,3.0,1.0,1.0,0.0,0,0,40,0.0,1.0
46,53,2.0,144361,1.0,9,1.0,9.0,1.0,0.0,0.0,0,0,38,0.0,0.0
47,44,2.0,128354,3.0,14,2.0,1.0,4.0,0.0,1.0,0,0,40,0.0,0.0
48,41,0.0,101603,7.0,11,1.0,6.0,1.0,0.0,0.0,0,0,40,0.0,0.0
49,29,2.0,271466,7.0,11,0.0,3.0,0.0,0.0,0.0,0,0,43,0.0,0.0
50,25,2.0,32275,5.0,10,1.0,1.0,2.0,4.0,1.0,0,0,40,0.0,0.0
51,18,2.0,226956,1.0,9,0.0,4.0,3.0,0.0,1.0,0,0,30,4.0,0.0
52,47,2.0,51835,10.0,15,1.0,3.0,2.0,0.0,1.0,0,1902,60,8.0,1.0
53,50,3.0,251585,0.0,13,2.0,1.0,0.0,0.0,0.0,0,0,55,0.0,1.0
54,47,6.0,109832,1.0,9,2.0,1.0,0.0,0.0,0.0,0,0,60,0.0,0.0
55,43,2.0,237993,5.0,10,1.0,10.0,1.0,0.0,0.0,0,0,40,0.0,1.0
56,46,2.0,216666,11.0,3,1.0,9.0,1.0,0.0,0.0,0,0,40,5.0,0.0
57,35,2.0,56352,7.0,11,1.0,4.0,1.0,0.0,0.0,0,0,40,7.0,0.0
58,41,2.0,147372,1.0,9,1.0,0.0,1.0,0.0,0.0,0,0,48,0.0,0.0
59,30,2.0,188146,1.0,9,1.0,9.0,1.0,0.0,0.0,5013,0,40,0.0,0.0
60,30,2.0,59496,0.0,13,1.0,5.0,1.0,0.0,0.0,2407,0,40,0.0,0.0
61,32,5.0,293936,8.0,4,3.0,11.0,0.0,0.0,0.0,0,0,40,4.0,0.0
62,48,2.0,149640,1.0,9,1.0,7.0,1.0,0.0,0.0,0,0,40,0.0,0.0
63,42,2.0,116632,9.0,16,1.0,3.0,1.0,0.0,0.0,0,0,45,0.0,1.0
64,29,2.0,105598,5.0,10,2.0,10.0,0.0,0.0,0.0,0,0,58,0.0,0.0
65,36,2.0,155537,1.0,9,1.0,6.0,1.0,0.0,0.0,0,0,40,0.0,0.0
66,28,2.0,183175,5.0,10,2.0,0.0,0.0,0.0,1.0,0,0,40,0.0,0.0
67,53,2.0,169846,1.0,9,1.0,0.0,2.0,0.0,1.0,0,0,40,0.0,1.0
68,49,6.0,191681,5.0,10,1.0,1.0,1.0,0.0,0.0,0,0,50,0.0,1.0
69,25,5.0,200681,5.0,10,0.0,11.0,3.0,0.0,0.0,0,0,40,0.0,0.0
70,19,2.0,101509,5.0,10,0.0,3.0,3.0,0.0,0.0,0,0,32,0.0,0.0
71,31,2.0,309974,0.0,13,4.0,5.0,3.0,1.0,1.0,0,0,40,0.0,0.0
72,29,1.0,162298,0.0,13,1.0,5.0,1.0,0.0,0.0,0,0,70,0.0,1.0
73,23,2.0,211678,5.0,10,0.0,9.0,0.0,0.0,0.0,0,0,40,0.0,0.0
74,79,2.0,124744,5.0,10,1.0,3.0,5.0,0.0,0.0,0,0,20,0.0,0.0
75,27,2.0,213921,1.0,9,0.0,4.0,3.0,0.0,0.0,0,0,40,5.0,0.0
76,40,2.0,32214,6.0,12,1.0,0.0,1.0,0.0,0.0,0,0,40,0.0,0.0
77,67,5.0,212759,12.0,6,1.0,11.0,1.0,0.0,0.0,0,0,2,0.0,0.0
78,18,2.0,309634,2.0,7,0.0,4.0,3.0,0.0,1.0,0,0,22,0.0,0.0
79,31,4.0,125927,8.0,4,1.0,8.0,1.0,0.0,0.0,0,0,40,0.0,0.0
80,18,2.0,446839,1.0,9,0.0,5.0,0.0,0.0,0.0,0,0,30,0.0,0.0
81,52,2.0,276515,0.0,13,1.0,4.0,1.0,0.0,0.0,0,0,40,1.0,0.0
82,46,2.0,51618,1.0,9,1.0,4.0,2.0,0.0,1.0,0,0,40,0.0,0.0
83,59,2.0,159937,1.0,9,1.0,5.0,1.0,0.0,0.0,0,0,48,0.0,0.0
84,44,2.0,343591,1.0,9,2.0,6.0,0.0,0.0,1.0,14344,0,40,0.0,1.0
85,53,2.0,346253,1.0,9,2.0,5.0,3.0,0.0,1.0,0,0,35,0.0,0.0
86,49,4.0,268234,1.0,9,1.0,12.0,1.0,0.0,0.0,0,0,40,0.0,1.0
87,33,2.0,202051,3.0,14,1.0,3.0,1.0,0.0,0.0,0,0,50,0.0,0.0
88,30,2.0,54334,4.0,5,0.0,5.0,0.0,0.0,0.0,0,0,40,0.0,0.0
89,43,3.0,410867,9.0,16,0.0,3.0,0.0,0.0,1.0,0,0,50,0.0,1.0
90,57,2.0,249977,7.0,11,1.0,3.0,1.0,0.0,0.0,0,0,40,0.0,0.0
91,37,2.0,286730,5.0,10,2.0,6.0,4.0,0.0,1.0,0,0,40,0.0,0.0
92,28,2.0,212563,5.0,10,2.0,9.0,4.0,1.0,1.0,0,0,25,0.0,0.0
93,30,2.0,117747,1.0,9,1.0,5.0,2.0,2.0,1.0,0,1573,35,4.0,0.0
94,34,4.0,226296,0.0,13,1.0,12.0,1.0,0.0,0.0,0,0,40,0.0,1.0
95,29,4.0,115585,5.0,10,0.0,2.0,0.0,0.0,0.0,0,0,50,0.0,0.0
96,48,1.0,191277,9.0,16,1.0,3.0,1.0,0.0,0.0,0,1902,60,0.0,1.0
97,37,2.0,202683,5.0,10,1.0,5.0,1.0,0.0,0.0,0,0,48,0.0,1.0
98,48,2.0,171095,6.0,12,2.0,1.0,4.0,0.0,1.0,0,0,40,9.0,0.0
99,32,3.0,249409,1.0,9,0.0,4.0,3.0,1.0,0.0,0,0,40,0.0,0.0
100,76,2.0,124191,3.0,14,1.0,1.0,1.0,0.0,0.0,0,0,40,0.0,1.0
101,44,2.0,198282,0.0,13,1.0,1.0,1.0,0.0,0.0,15024,0,60,0.0,1.0
102,47,1.0,149116,3.0,14,0.0,3.0,0.0,0.0,1.0,0,0,50,0.0,0.0
103,20,2.0,188300,5.0,10,0.0,10.0,3.0,0.0,1.0,0,0,40,0.0,0.0
104,29,2.0,103432,1.0,9,0.0,6.0,0.0,0.0,0.0,0,0,40,0.0,0.0
105,32,6.0,317660,1.0,9,1.0,6.0,1.0,0.0,0.0,7688,0,40,0.0,1.0
106,17,5.0,304873,12.0,6,0.0,11.0,3.0,0.0,1.0,34095,0,32,0.0,0.0
107,30,2.0,194901,2.0,7,0.0,2.0,3.0,0.0,0.0,0,0,40,0.0,0.0
108,31,4.0,189265,1.0,9,0.0,0.0,0.0,0.0,1.0,0,0,40,0.0,0.0
109,42,2.0,124692,1.0,9,1.0,2.0,1.0,0.0,0.0,0,0,40,0.0,0.0
110,24,2.0,432376,0.0,13,0.0,5.0,5.0,0.0,0.0,0,0,40,0.0,0.0
111,38,2.0,65324,10.0,15,1.0,3.0,1.0,0.0,0.0,0,0,40,0.0,1.0
112,56,1.0,335605,1.0,9,1.0,4.0,1.0,0.0,0.0,0,1887,50,10.0,1.0
113,28,2.0,377869,5.0,10,1.0,5.0,2.0,0.0,1.0,4064,0,25,0.0,0.0
114,36,2.0,102864,1.0,9,0.0,9.0,3.0,0.0,1.0,0,0,40,0.0,0.0
115,53,2.0,95647,4.0,5,1.0,2.0,1.0,0.0,0.0,0,0,50,0.0,0.0
116,56,6.0,303090,5.0,10,1.0,5.0,1.0,0.0,0.0,0,0,50,0.0,0.0
117,49,4.0,197371,7.0,11,1.0,6.0,1.0,1.0,0.0,0,0,40,0.0,1.0
118,55,2.0,247552,5.0,10,1.0,5.0,1.0,0.0,0.0,0,0,56,0.0,0.0
119,22,2.0,102632,1.0,9,0.0,6.0,0.0,0.0,0.0,0,0,41,0.0,0.0
120,21,2.0,199915,5.0,10,0.0,4.0,3.0,0.0,1.0,0,0,40,0.0,0.0
121,40,2.0,118853,0.0,13,1.0,1.0,1.0,0.0,0.0,0,0,60,0.0,0.0
122,30,2.0,77143,0.0,13,0.0,1.0,3.0,1.0,0.0,0,0,40,11.0,0.0
123,29,0.0,267989,0.0,13,1.0,3.0,1.0,0.0,0.0,0,0,50,0.0,1.0
124,19,2.0,301606,5.0,10,0.0,4.0,3.0,1.0,0.0,0,0,35,0.0,0.0
125,47,2.0,287828,0.0,13,1.0,1.0,2.0,0.0,1.0,0,0,40,0.0,1.0
126,20,2.0,111697,5.0,10,0.0,0.0,3.0,0.0,1.0,0,1719,28,0.0,0.0
127,31,2.0,114937,6.0,12,1.0,0.0,1.0,0.0,0.0,0,0,40,0.0,1.0
128,35,5.0,129305,1.0,9,1.0,11.0,1.0,0.0,0.0,0,0,40,0.0,0.0
129,39,2.0,365739,5.0,10,2.0,6.0,0.0,0.0,0.0,0,0,40,0.0,0.0
130,28,2.0,69621,6.0,12,0.0,5.0,0.0,0.0,1.0,0,0,60,0.0,0.0
131,24,2.0,43323,1.0,9,0.0,4.0,0.0,0.0,1.0,0,1762,40,0.0,0.0
132,38,1.0,120985,1.0,9,1.0,6.0,1.0,0.0,0.0,4386,0,35,0.0,0.0
133,37,2.0,254202,0.0,13,1.0,5.0,1.0,0.0,0.0,0,0,50,0.0,0.0
134,46,2.0,146195,6.0,12,2.0,10.0,0.0,1.0,1.0,0,0,36,0.0,0.0
135,38,3.0,125933,3.0,14,1.0,3.0,1.0,0.0,0.0,0,0,40,12.0,1.0
136,43,1.0,56920,1.0,9,1.0,6.0,1.0,0.0,0.0,0,0,60,0.0,0.0
137,27,2.0,163127,7.0,11,1.0,0.0,2.0,0.0,1.0,0,0,35,0.0,0.0
138,20,2.0,34310,5.0,10,0.0,5.0,3.0,0.0,0.0,0,0,20,0.0,0.0
139,49,2.0,81973,5.0,10,1.0,6.0,1.0,2.0,0.0,0,0,40,0.0,1.0
140,61,6.0,66614,1.0,9,1.0,6.0,1.0,0.0,0.0,0,0,40,0.0,0.0
141,27,2.0,232782,5.0,10,0.0,5.0,3.0,0.0,1.0,0,0,40,0.0,0.0
142,19,2.0,316868,5.0,10,0.0,4.0,3.0,0.0,0.0,0,0,30,5.0,0.0
143,45,2.0,196584,7.0,11,0.0,3.0,0.0,0.0,1.0,0,1564,40,0.0,1.0
144,70,2.0,105376,5.0,10,0.0,10.0,5.0,0.0,0.0,0,0,40,0.0,0.0
145,31,2.0,185814,1.0,9,0.0,7.0,4.0,1.0,1.0,0,0,30,0.0,0.0
146,22,2.0,175374,5.0,10,1.0,4.0,1.0,0.0,0.0,0,0,24,0.0,0.0
147,36,2.0,108293,1.0,9,6.0,4.0,4.0,0.0,1.0,0,0,24,0.0,0.0
148,64,2.0,181232,2.0,7,1.0,6.0,1.0,0.0,0.0,0,2179,40,0.0,0.0
149,43,5.0,174662,5.0,10,2.0,11.0,0.0,0.0,1.0,0,0,40,0.0,0.0
150,47,4.0,186009,5.0,10,2.0,0.0,4.0,0.0,1.0,0,0,38,5.0,0.0
151,34,2.0,198183,1.0,9,0.0,0.0,0.0,0.0,1.0,0,0,40,0.0,0.0
152,33,2.0,163003,0.0,13,0.0,1.0,5.0,2.0,1.0,0,0,40,13.0,0.0
153,21,2.0,296158,1.0,9,0.0,6.0,3.0,0.0,0.0,0,0,35,0.0,0.0
154,52,5.0,252903,1.0,9,2.0,11.0,0.0,0.0,0.0,0,0,45,0.0,1.0
155,48,2.0,187715,1.0,9,1.0,6.0,1.0,0.0,0.0,0,0,46,0.0,0.0
156,23,2.0,214542,0.0,13,0.0,2.0,0.0,0.0,0.0,0,0,40,0.0,0.0
157,71,1.0,494223,5.0,10,4.0,5.0,4.0,1.0,0.0,0,1816,2,0.0,0.0
158,29,2.0,191535,1.0,9,2.0,6.0,0.0,0.0,0.0,0,0,60,0.0,0.0
159,42,2.0,228456,0.0,13,4.0,4.0,5.0,1.0,0.0,0,0,50,0.0,0.0
160,68,5.0,38317,13.0,2,2.0,11.0,0.0,0.0,1.0,0,0,20,0.0,0.0
161,25,2.0,252752,1.0,9,0.0,4.0,4.0,0.0,1.0,0,0,40,0.0,0.0
162,44,6.0,78374,3.0,14,2.0,1.0,4.0,2.0,1.0,0,0,40,0.0,0.0
163,28,2.0,88419,1.0,9,0.0,1.0,0.0,2.0,1.0,0,0,40,9.0,0.0
164,45,1.0,201080,3.0,14,1.0,5.0,1.0,0.0,0.0,0,0,40,0.0,1.0
165,36,2.0,207157,5.0,10,2.0,4.0,4.0,0.0,1.0,0,0,40,5.0,0.0
166,39,3.0,235485,6.0,12,0.0,1.0,0.0,0.0,0.0,0,0,42,0.0,0.0
167,46,0.0,102628,3.0,14,6.0,12.0,4.0,0.0,0.0,0,0,40,0.0,0.0
168,18,2.0,25828,2.0,7,0.0,2.0,3.0,0.0,0.0,0,0,16,0.0,0.0
169,66,4.0,54826,7.0,11,6.0,3.0,0.0,0.0,1.0,0,0,20,0.0,0.0
170,27,2.0,124953,1.0,9,0.0,4.0,0.0,0.0,0.0,0,1980,40,0.0,0.0
171,28,0.0,175325,1.0,9,1.0,12.0,1.0,0.0,0.0,0,0,40,0.0,0.0
172,51,2.0,96062,5.0,10,1.0,5.0,1.0,0.0,0.0,0,1977,40,0.0,1.0
173,27,2.0,428030,0.0,13,0.0,6.0,0.0,0.0,0.0,0,0,50,0.0,0.0
174,28,0.0,149624,0.0,13,1.0,3.0,1.0,0.0,0.0,0,0,40,0.0,1.0
175,27,2.0,253814,1.0,9,3.0,5.0,4.0,0.0,1.0,0,0,25,0.0,0.0
176,21,2.0,312956,1.0,9,0.0,6.0,3.0,1.0,0.0,0,0,40,0.0,0.0
177,34,2.0,483777,1.0,9,0.0,2.0,0.0,1.0,0.0,0,0,40,0.0,0.0
178,18,2.0,183930,1.0,9,0.0,4.0,3.0,0.0,0.0,0,0,12,0.0,0.0
179,33,2.0,37274,0.0,13,1.0,3.0,1.0,0.0,0.0,0,0,65,0.0,0.0
180,44,4.0,181344,5.0,10,1.0,1.0,1.0,1.0,0.0,0,0,38,0.0,1.0
181,43,2.0,114580,5.0,10,2.0,0.0,0.0,0.0,1.0,0,0,40,0.0,0.0
182,30,2.0,633742,5.0,10,0.0,6.0,0.0,1.0,0.0,0,0,45,0.0,0.0
183,40,2.0,286370,8.0,4,1.0,9.0,1.0,0.0,0.0,0,0,40,5.0,1.0
184,37,3.0,29054,5.0,10,1.0,0.0,1.0,0.0,0.0,0,0,42,0.0,1.0
185,34,2.0,304030,1.0,9,1.0,0.0,1.0,1.0,0.0,0,0,40,0.0,0.0
186,41,1.0,143129,0.0,13,2.0,1.0,0.0,0.0,1.0,0,0,40,0.0,0.0
187,53,5.0,135105,0.0,13,2.0,11.0,0.0,0.0,1.0,0,0,50,0.0,0.0
188,31,2.0,99928,3.0,14,1.0,3.0,2.0,0.0,1.0,0,0,50,0.0,0.0
189,58,0.0,109567,9.0,16,1.0,3.0,1.0,0.0,0.0,0,0,1,0.0,1.0
190,38,2.0,155222,5.0,10,2.0,9.0,0.0,1.0,1.0,0,0,28,0.0,0.0
191,24,2.0,159567,5.0,10,1.0,9.0,1.0,0.0,0.0,0,0,40,0.0,0.0
192,41,4.0,523910,0.0,13,1.0,6.0,1.0,1.0,0.0,0,0,40,0.0,0.0
193,47,2.0,120939,5.0,10,1.0,10.0,1.0,0.0,0.0,0,0,45,0.0,0.0
194,41,3.0,130760,0.0,13,1.0,10.0,1.0,0.0,0.0,0,0,24,0.0,0.0
195,23,2.0,197387,11.0,3,1.0,7.0,5.0,0.0,0.0,0,0,40,5.0,0.0
196,36,2.0,99374,5.0,10,2.0,6.0,0.0,0.0,0.0,0,0,40,0.0,0.0
197,40,3.0,56795,3.0,14,0.0,1.0,0.0,0.0,1.0,14084,0,55,0.0,1.0
198,35,2.0,138992,3.0,14,1.0,3.0,5.0,0.0,0.0,7298,0,40,0.0,1.0
199,24,1.0,32921,1.0,9,0.0,5.0,0.0,0.0,0.0,0,0,40,0.0,0.0
200,26,2.0,397317,3.0,14,0.0,3.0,0.0,0.0,1.0,0,1876,40,0.0,0.0
201,19,5.0,170653,1.0,9,0.0,11.0,3.0,0.0,0.0,0,0,40,14.0,0.0
202,51,2.0,259323,0.0,13,1.0,1.0,1.0,0.0,0.0,0,0,50,0.0,1.0
203,42,4.0,254817,5.0,10,0.0,3.0,0.0,0.0,1.0,0,1340,40,0.0,0.0
204,37,0.0,48211,1.0,9,2.0,0.0,4.0,0.0,1.0,0,0,35,0.0,0.0
205,18,2.0,140164,2.0,7,0.0,5.0,3.0,0.0,1.0,0,0,40,0.0,0.0
206,36,2.0,128757,0.0,13,1.0,4.0,1.0,1.0,0.0,7298,0,36,0.0,1.0
207,35,2.0,36270,1.0,9,2.0,6.0,0.0,0.0,0.0,0,0,60,0.0,0.0
208,58,6.0,210563,1.0,9,1.0,5.0,2.0,0.0,1.0,15024,0,35,0.0,1.0
209,17,2.0,65368,2.0,7,0.0,5.0,3.0,0.0,1.0,0,0,12,0.0,0.0
210,44,4.0,160943,1.0,9,1.0,7.0,1.0,1.0,0.0,0,0,40,0.0,0.0
211,37,2.0,208358,1.0,9,1.0,6.0,1.0,0.0,0.0,0,0,40,0.0,1.0
212,35,2.0,153790,5.0,10,0.0,5.0,0.0,3.0,1.0,0,0,40,0.0,0.0
213,60,2.0,85815,1.0,9,1.0,6.0,1.0,2.0,0.0,0,0,40,0.0,0.0
214,54,6.0,125417,8.0,4,1.0,9.0,1.0,0.0,0.0,0,0,40,0.0,1.0
215,37,2.0,635913,0.0,13,0.0,1.0,0.0,1.0,0.0,0,0,60,0.0,1.0
216,50,2.0,313321,6.0,12,2.0,5.0,0.0,0.0,1.0,0,0,40,0.0,0.0
217,38,2.0,182609,0.0,13,1.0,5.0,1.0,0.0,0.0,0,0,50,15.0,0.0
218,45,2.0,109434,0.0,13,1.0,3.0,1.0,0.0,0.0,0,0,55,0.0,0.0
219,25,2.0,255004,12.0,6,0.0,6.0,0.0,0.0,0.0,0,0,40,0.0,0.0
220,31,2.0,197860,5.0,10,1.0,2.0,1.0,0.0,0.0,0,0,40,0.0,0.0
221,64,5.0,187656,13.0,2,2.0,11.0,0.0,0.0,0.0,0,0,40,0.0,0.0
222,90,2.0,51744,1.0,9,0.0,4.0,0.0,1.0,0.0,0,2206,40,0.0,0.0
223,54,2.0,176681,1.0,9,1.0,0.0,1.0,1.0,0.0,0,0,20,0.0,0.0
224,53,4.0,140359,14.0,1,0.0,9.0,0.0,0.0,1.0,0,0,35,0.0,0.0
225,18,2.0,243313,1.0,9,0.0,5.0,3.0,0.0,1.0,0,0,40,0.0,0.0
226,60,5.0,24215,12.0,6,2.0,11.0,0.0,3.0,1.0,0,0,10,0.0,0.0
227,66,1.0,167687,1.0,9,1.0,8.0,1.0,0.0,0.0,1409,0,50,0.0,0.0
228,75,2.0,314209,7.0,11,6.0,0.0,0.0,0.0,1.0,0,0,20,16.0,0.0
229,65,2.0,176796,1.0,9,2.0,0.0,0.0,0.0,1.0,0,0,40,0.0,0.0
230,35,2.0,538583,2.0,7,4.0,7.0,0.0,1.0,0.0,3674,0,40,0.0,0.0
231,41,2.0,130408,1.0,9,2.0,5.0,4.0,1.0,1.0,0,0,38,0.0,0.0
232,25,2.0,159732,5.0,10,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0
233,33,2.0,110978,5.0,10,2.0,6.0,5.0,4.0,1.0,0,0,40,0.0,0.0
234,28,2.0,76714,10.0,15,0.0,3.0,0.0,0.0,0.0,0,0,55,0.0,1.0
235,59,0.0,268700,1.0,9,1.0,4.0,1.0,0.0,0.0,0,0,40,0.0,0.0
236,40,0.0,170525,5.0,10,0.0,0.0,0.0,0.0,1.0,0,0,38,0.0,0.0
237,41,2.0,180138,0.0,13,1.0,1.0,1.0,0.0,0.0,0,0,50,12.0,1.0
238,38,4.0,115076,3.0,14,1.0,1.0,1.0,0.0,0.0,0,0,70,0.0,1.0
239,23,2.0,115458,1.0,9,0.0,7.0,3.0,0.0,0.0,0,0,40,0.0,0.0
240,40,2.0,347890,0.0,13,1.0,3.0,1.0,0.0,0.0,0,0,40,0.0,1.0
241,41,1.0,196001,1.0,9,1.0,4.0,2.0,0.0,1.0,0,0,20,0.0,0.0
242,24,0.0,273905,6.0,12,1.0,12.0,1.0,0.0,0.0,0,0,50,0.0,0.0
243,20,5.0,119156,5.0,10,0.0,11.0,3.0,0.0,0.0,0,0,20,0.0,0.0
244,38,2.0,179488,5.0,10,2.0,6.0,0.0,0.0,0.0,0,1741,40,0.0,0.0
245,56,2.0,203580,1.0,9,1.0,0.0,1.0,0.0,0.0,0,0,35,4.0,0.0
246,58,2.0,236596,1.0,9,1.0,0.0,1.0,0.0,0.0,0,0,45,0.0,1.0
247,32,2.0,183916,1.0,9,0.0,4.0,0.0,0.0,1.0,0,0,34,0.0,0.0
248,40,2.0,207578,6.0,12,1.0,10.0,1.0,0.0,0.0,0,1977,60,0.0,1.0
249,45,2.0,153141,1.0,9,1.0,0.0,1.0,0.0,0.0,0,0,40,4.0,0.0
250,41,2.0,112763,10.0,15,1.0,3.0,2.0,0.0,1.0,0,0,40,0.0,1.0
251,42,2.0,390781,0.0,13,1.0,0.0,2.0,1.0,1.0,0,0,40,0.0,0.0
252,59,4.0,171328,12.0,6,6.0,4.0,4.0,1.0,1.0,0,0,30,0.0,0.0
253,19,4.0,27382,5.0,10,0.0,0.0,3.0,0.0,0.0,0,0,40,0.0,0.0
254,58,2.0,259014,5.0,10,0.0,7.0,0.0,0.0,0.0,0,0,20,0.0,0.0
255,42,1.0,303044,1.0,9,1.0,8.0,1.0,2.0,0.0,0,0,40,17.0,1.0
256,20,2.0,117789,1.0,9,0.0,4.0,3.0,0.0,1.0,0,0,40,0.0,0.0
257,32,2.0,172579,1.0,9,4.0,4.0,0.0,0.0,1.0,0,0,30,0.0,0.0
258,45,2.0,187666,7.0,11,6.0,1.0,0.0,0.0,1.0,0,0,45,0.0,0.0
259,50,2.0,204518,8.0,4,2.0,6.0,0.0,0.0,0.0,0,0,40,0.0,0.0
260,36,2.0,150042,0.0,13,2.0,3.0,3.0,0.0,1.0,0,0,40,0.0,0.0
261,45,2.0,98092,1.0,9,1.0,5.0,1.0,0.0,0.0,0,0,60,0.0,0.0
262,17,2.0,245918,2.0,7,0.0,4.0,3.0,0.0,0.0,0,0,12,0.0,0.0
263,59,2.0,146013,5.0,10,1.0,5.0,1.0,0.0,0.0,4064,0,40,0.0,0.0
264,26,2.0,378322,2.0,7,1.0,6.0,1.0,0.0,0.0,0,0,40,0.0,0.0
265,37,6.0,257295,5.0,10,1.0,1.0,1.0,2.0,0.0,0,0,75,18.0,1.0
266,19,5.0,218956,5.0,10,0.0,11.0,3.0,0.0,0.0,0,0,24,10.0,0.0
267,64,2.0,21174,1.0,9,1.0,1.0,1.0,0.0,0.0,0,0,40,0.0,1.0
268,33,2.0,185480,0.0,13,0.0,3.0,0.0,0.0,1.0,0,0,45,0.0,0.0
269,33,2.0,222205,1.0,9,1.0,6.0,2.0,0.0,1.0,0,0,40,0.0,1.0
270,61,2.0,69867,1.0,9,1.0,1.0,1.0,0.0,0.0,0,0,40,0.0,1.0
