,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
10,120,0.0,26.0,5858,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,7,5,18,18,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1051.0,3.0,0.0,354.0,1405.0,0.0,2.0,0.0,0.0,1337,0,0,1337,1.0,0.0,2,0,2,1,1.0,5,0.0,1,4.0,0.0,18,1.0,2.0,511.0,0.0,0.0,0.0,203,68,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
11,160,2.0,21.0,1680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,6,5,46,46,0.0,0.0,2.0,2.0,1.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,1.0,0.0,327.0,483.0,0.0,0.0,0.0,0.0,483,504,0,987,0.0,0.0,1,1,2,1,0.0,5,0.0,0,0.0,1.0,46,0.0,1.0,264.0,0.0,0.0,0.0,275,0,0,0,0,0,0.0,1.0,0.0,0,2,7,1.0,0.0
12,160,2.0,21.0,1680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,5,5,46,46,0.0,0.0,2.0,2.0,1.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1.0,0.0,225.0,525.0,0.0,0.0,0.0,0.0,525,567,0,1092,0.0,0.0,1,1,3,1,0.0,6,0.0,0,0.0,1.0,20,0.0,1.0,320.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0,3,7,0.0,0.0
13,160,1.0,24.0,2280,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,6,6,42,42,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,514.0,1.0,0.0,341.0,855.0,0.0,0.0,0.0,0.0,855,601,0,1456,0.0,0.0,2,1,3,1,1.0,6,0.0,1,1.0,0.0,42,0.0,2.0,440.0,0.0,0.0,0.0,173,0,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
14,120,1.0,24.0,2280,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,0.0,7,6,42,42,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,836.0,836.0,0.0,2.0,0.0,0.0,836,0,0,836,0.0,0.0,1,0,2,1,0.0,4,0.0,0,0.0,0.0,42,0.0,1.0,308.0,0.0,0.0,0.0,0,30,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
15,60,1.0,102.0,12858,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,9,5,8,7,0.0,0.0,0.0,0.0,2.0,162.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1590.0,1590.0,0.0,2.0,0.0,0.0,1627,707,0,2334,0.0,0.0,2,1,3,1,2.0,10,0.0,1,2.0,0.0,8,1.0,3.0,751.0,0.0,0.0,0.0,144,133,0,0,0,0,0.0,1.0,0.0,0,1,7,2.0,1.0
16,20,1.0,94.0,12883,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,8,5,8,7,0.0,0.0,0.0,0.0,2.0,256.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1544.0,1544.0,0.0,2.0,0.0,0.0,1544,0,0,1544,0.0,0.0,2,0,3,1,1.0,7,0.0,0,0.0,0.0,8,2.0,3.0,868.0,0.0,0.0,0.0,0,35,0,0,0,0,0.0,1.0,0.0,0,6,7,2.0,1.0
17,20,1.0,90.0,11520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,9,5,12,12,1.0,0.0,0.0,0.0,1.0,615.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,110.0,1.0,0.0,1588.0,1698.0,0.0,2.0,0.0,0.0,1698,0,0,1698,0.0,0.0,2,0,3,1,2.0,7,0.0,1,2.0,0.0,12,1.0,3.0,730.0,0.0,0.0,0.0,192,74,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
18,20,1.0,79.0,14122,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,8,5,12,11,1.0,0.0,5.0,6.0,1.0,240.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,28.0,1.0,0.0,1794.0,1822.0,0.0,2.0,0.0,0.0,1822,0,0,1822,0.0,0.0,2,0,3,1,2.0,8,0.0,1,2.0,0.0,12,2.0,3.0,678.0,0.0,0.0,0.0,0,119,0,0,0,0,0.0,1.0,0.0,0,2,7,0.0,0.0
19,20,1.0,110.0,14300,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,9,5,14,13,1.0,0.0,0.0,0.0,1.0,1095.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,1373.0,1.0,0.0,1473.0,2846.0,0.0,2.0,0.0,0.0,2696,0,0,2696,1.0,0.0,2,1,3,1,2.0,10,0.0,2,2.0,0.0,14,1.0,3.0,958.0,0.0,0.0,0.0,220,150,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
20,60,1.0,105.0,13650,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,8,5,15,15,0.0,0.0,0.0,0.0,1.0,232.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,578.0,1.0,0.0,1093.0,1671.0,0.0,2.0,0.0,0.0,1687,563,0,2250,1.0,0.0,2,1,3,1,1.0,7,0.0,1,5.0,0.0,15,1.0,3.0,756.0,0.0,0.0,0.0,238,130,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
21,120,1.0,41.0,7132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,8,5,11,11,0.0,0.0,0.0,0.0,2.0,178.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,24.0,1.0,0.0,1346.0,1370.0,0.0,2.0,0.0,0.0,1370,0,0,1370,0.0,0.0,2,0,2,1,1.0,6,0.0,1,2.0,0.0,11,2.0,2.0,484.0,0.0,0.0,0.0,120,49,0,0,0,0,0.0,1.0,0.0,0,4,7,0.0,0.0
22,20,1.0,100.0,18494,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6,5,12,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1324.0,1324.0,0.0,2.0,0.0,0.0,1324,0,0,1324,0.0,0.0,2,0,3,1,1.0,6,0.0,0,0.0,0.0,12,1.0,2.0,430.0,0.0,0.0,0.0,36,23,0,0,0,0,0.0,1.0,0.0,0,1,7,0.0,0.0
23,120,1.0,43.0,3203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,7,5,11,11,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,16.0,1.0,0.0,1129.0,1145.0,0.0,2.0,0.0,0.0,1145,0,0,1145,0.0,0.0,2,0,2,1,1.0,6,0.0,0,0.0,0.0,11,1.0,2.0,437.0,0.0,0.0,0.0,100,116,0,0,0,0,0.0,1.0,0.0,0,1,7,0.0,0.0
24,80,1.0,67.0,13300,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7,5,13,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,326.0,1.0,0.0,58.0,384.0,0.0,2.0,0.0,0.0,744,630,0,1374,1.0,0.0,2,1,3,1,1.0,7,0.0,1,2.0,2.0,13,1.0,2.0,400.0,0.0,0.0,0.0,100,0,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
25,60,1.0,63.0,8577,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7,5,13,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,847.0,847.0,0.0,2.0,0.0,0.0,847,886,0,1733,0.0,0.0,2,1,3,1,1.0,7,0.0,1,2.0,2.0,13,1.0,2.0,433.0,0.0,0.0,0.0,144,48,0,0,0,0,0.0,1.0,0.0,0,4,7,0.0,0.0
26,60,1.0,60.0,17433,0.0,0.0,2.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,1.0,8,5,19,19,1.0,0.0,0.0,0.0,1.0,114.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1629.0,1629.0,0.0,2.0,0.0,0.0,1645,830,0,2475,0.0,0.0,2,1,4,1,1.0,7,0.0,1,1.0,0.0,19,1.0,3.0,962.0,0.0,0.0,0.0,23,172,0,0,256,0,0.0,1.0,0.0,0,1,7,0.0,0.0
27,20,1.0,73.0,8987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,8,5,12,11,0.0,0.0,0.0,0.0,1.0,226.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,1595.0,1595.0,0.0,2.0,0.0,0.0,1595,0,0,1595,0.0,0.0,2,0,2,1,1.0,6,0.0,1,2.0,0.0,12,2.0,3.0,880.0,0.0,0.0,0.0,144,0,0,0,0,0,0.0,1.0,0.0,0,5,7,0.0,0.0
28,20,3.0,92.0,9215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,7,5,8,7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1218.0,1218.0,0.0,2.0,0.0,0.0,1218,0,0,1218,0.0,0.0,2,0,2,1,1.0,4,0.0,0,0.0,0.0,8,2.0,2.0,676.0,0.0,0.0,0.0,0,136,0,0,0,0,0.0,1.0,0.0,0,4,7,2.0,1.0
29,20,3.0,84.0,10440,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,6,5,12,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1414.0,1.0,0.0,54.0,1468.0,0.0,2.0,0.0,0.0,1468,0,0,1468,1.0,0.0,2,0,2,1,1.0,6,0.0,1,2.0,0.0,12,1.0,2.0,528.0,0.0,0.0,0.0,0,102,0,0,216,0,0.0,1.0,0.0,0,5,7,0.0,0.0
30,60,1.0,70.0,11920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,7,5,13,13,0.0,0.0,0.0,0.0,1.0,122.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,831.0,831.0,0.0,2.0,0.0,0.0,831,828,0,1659,0.0,0.0,2,1,3,1,1.0,8,0.0,0,0.0,0.0,13,2.0,2.0,484.0,0.0,0.0,0.0,144,68,0,0,0,0,0.0,1.0,0.0,0,4,7,0.0,0.0
31,30,0.0,70.0,9800,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,5,5,97,67,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,816.0,816.0,0.0,0.0,1.0,1.0,1012,0,0,1012,0.0,0.0,1,0,2,1,0.0,5,0.0,0,0.0,1.0,97,0.0,1.0,429.0,0.0,0.0,0.0,121,0,80,0,0,0,0.0,1.0,0.0,0,4,7,0.0,0.0
32,20,1.0,39.0,15410,0.0,0.0,1.0,0.0,0.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,6,6,43,15,1.0,0.0,3.0,3.0,3.0,250.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,126.0,4.0,859.0,223.0,1208.0,0.0,2.0,0.0,0.0,1494,0,0,1494,1.0,0.0,2,0,3,1,0.0,7,0.0,2,4.0,0.0,43,1.0,2.0,461.0,0.0,0.0,0.0,296,0,186,0,0,0,0.0,2.0,0.0,0,4,7,0.0,2.0
33,60,1.0,85.0,13143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,8,5,24,24,0.0,0.0,2.0,7.0,1.0,504.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,250.0,4.0,981.0,0.0,1231.0,0.0,2.0,0.0,0.0,1251,1098,0,2349,1.0,0.0,2,1,4,1,1.0,9,0.0,1,1.0,0.0,24,2.0,3.0,762.0,0.0,0.0,0.0,32,130,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
34,60,1.0,88.0,11134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,8,5,25,24,0.0,0.0,2.0,2.0,1.0,180.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1129.0,1.0,0.0,261.0,1390.0,0.0,2.0,0.0,0.0,1402,823,0,2225,1.0,0.0,2,1,4,1,1.0,7,0.0,1,1.0,0.0,25,2.0,3.0,713.0,0.0,0.0,0.0,198,30,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
35,120,3.0,25.0,4835,0.0,0.0,1.0,0.0,0.0,3.0,0.0,8.0,1.0,0.0,1.0,0.0,7,5,13,12,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,1298.0,1.0,0.0,190.0,1488.0,0.0,2.0,0.0,0.0,1488,0,0,1488,1.0,0.0,2,0,2,1,1.0,6,0.0,1,2.0,0.0,13,1.0,2.0,506.0,0.0,0.0,0.0,168,50,0,0,0,0,0.0,1.0,0.0,0,3,7,0.0,0.0
36,160,3.0,39.0,3515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,7,5,13,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,840.0,840.0,0.0,2.0,0.0,0.0,840,840,0,1680,0.0,0.0,2,1,2,1,1.0,3,0.0,0,0.0,0.0,13,2.0,2.0,588.0,0.0,0.0,0.0,0,111,0,0,0,0,0.0,1.0,0.0,0,1,7,0.0,0.0
37,160,3.0,30.0,3215,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,7,5,13,13,0.0,0.0,4.0,4.0,1.0,120.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,280.0,1.0,0.0,320.0,600.0,0.0,2.0,0.0,0.0,600,600,0,1200,0.0,0.0,2,1,2,1,1.0,4,0.0,0,0.0,1.0,13,2.0,2.0,480.0,0.0,0.0,0.0,0,172,0,0,0,0,0.0,1.0,0.0,0,4,7,3.0,0.0
38,160,3.0,24.0,2544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,1.0,7,5,13,12,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,368.0,5.0,42.0,190.0,600.0,0.0,2.0,0.0,0.0,600,600,0,1200,1.0,0.0,2,1,2,1,1.0,4,0.0,0,0.0,1.0,13,2.0,2.0,480.0,0.0,0.0,0.0,0,172,0,0,0,0,0.0,1.0,0.0,0,2,7,0.0,0.0
39,160,3.0,24.0,2544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,1.0,6,5,12,12,0.0,0.0,0.0,0.0,1.0,216.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,376.0,1.0,0.0,224.0,600.0,0.0,2.0,0.0,0.0,600,636,0,1236,1.0,0.0,2,1,2,1,1.0,4,0.0,0,0.0,1.0,12,2.0,2.0,480.0,0.0,0.0,0.0,0,166,0,0,0,0,0.0,1.0,0.0,0,5,7,0.0,0.0
40,160,3.0,67.0,2980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,1.0,6,5,17,17,0.0,0.0,4.0,4.0,1.0,1159.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,466.0,1.0,0.0,290.0,756.0,0.0,2.0,0.0,0.0,756,756,0,1512,1.0,0.0,2,1,2,1,1.0,5,0.0,0,0.0,1.0,17,0.0,2.0,440.0,0.0,0.0,0.0,0,32,0,0,0,0,0.0,1.0,0.0,0,5,7,0.0,0.0
41,160,3.0,67.0,2403,0.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,1.0,1.0,7,5,14,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,244.0,1.0,0.0,286.0,530.0,0.0,2.0,0.0,0.0,530,550,0,1080,0.0,0.0,2,1,2,1,1.0,4,0.0,0,0.0,0.0,14,2.0,2.0,496.0,0.0,0.0,0.0,0,50,0,0,0,0,0.0,1.0,0.0,0,6,7,0.0,0.0
42,20,3.0,57.0,12853,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,8,5,7,7,0.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,1032.0,1.0,0.0,610.0,1642.0,0.0,2.0,0.0,0.0,1418,0,0,1418,1.0,0.0,1,1,1,1,1.0,6,0.0,1,2.0,0.0,7,2.0,3.0,852.0,0.0,0.0,0.0,160,192,0,224,0,0,0.0,1.0,0.0,0,4,7,2.0,1.0
43,60,3.0,68.0,7379,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,8,5,17,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,484.0,1.0,0.0,491.0,975.0,0.0,2.0,0.0,0.0,975,873,0,1848,1.0,0.0,2,1,3,1,1.0,7,0.0,1,1.0,0.0,17,2.0,2.0,592.0,0.0,0.0,0.0,280,184,0,0,0,0,0.0,1.0,0.0,0,4,7,0.0,0.0
44,20,3.0,80.0,8000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,7,5,15,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,833.0,1.0,0.0,659.0,1492.0,0.0,2.0,0.0,0.0,1492,0,0,1492,1.0,0.0,2,0,3,1,1.0,6,0.0,1,2.0,0.0,15,2.0,2.0,596.0,0.0,0.0,0.0,277,137,0,0,0,0,0.0,1.0,0.0,0,4,7,0.0,0.0
45,20,1.0,67.0,10456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,6,6,50,50,1.0,0.0,2.0,2.0,1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,506.0,1.0,0.0,1323.0,1829.0,0.0,1.0,0.0,0.0,1829,0,0,1829,1.0,0.0,2,0,4,1,0.0,8,0.0,0,0.0,0.0,50,2.0,2.0,535.0,0.0,0.0,0.0,0,76,0,0,0,0,0.0,1.0,0.0,0,5,7,0.0,0.0
46,60,1.0,80.0,10791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,6,5,24,24,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1137.0,1.0,0.0,143.0,1280.0,0.0,2.0,0.0,0.0,1280,1215,0,2495,1.0,0.0,2,1,4,1,1.0,9,0.0,1,1.0,0.0,24,0.0,2.0,660.0,0.0,0.0,0.0,224,32,0,0,0,0,0.0,1.0,0.0,0,3,7,0.0,0.0
